candidate_id,candidate_source,include_main,include_pool,include_sensitivity_rank10,candidate_rank_within_prompt_run,analysis_group,sample_id,run,prompt_name,source_zeroing_mode,source_node_id,layer,source_pos,source_feature_id,position_group,best_real_condition,path_mass_best,target_token_id,target_token,wrong_token_id,wrong_token,original_target_logit,original_target_rank,original_top1_token,clean_target_logit,clean_target_rank,clean_top1_token,clean_activation,answer_mask_drop,union_mask_drop,shifted_mask_drop,shuffled_mask_drop,real_drop_best,control_drop_max,evidence_specificity,target_contribution,wrong_target_contribution,correct_minus_wrong_contribution,evidence_first_score,damage_score,visual_position_count,answer_adjacent_position_count,known_damaging_feature_ids_for_prompt_run,image_filename,local_image_path,question_text,answer_text,reasoning_operation,image_dependence_tier,paperpack_source,mask_dir,answer_mask_path,union_mask_path,shifted_mask_path,shuffled_mask_path
qwen_evidence_first_0001,evidence_first_discovery,1,1,0,1,non_numeric,okvqa_val_00310,evidence_first,B_direct,subtract,F:L13:P30:ID6346,13,30,6346,visual_answer,answer_mask,0.2767329671076182,2738, View,576, The,12.75,18, The,12.75,18, The,45.5,21.375,21.375,7.5,3.25,21.375,7.5,13.875,0.005194677971303463,-0.009766857139766216,0.005194677971303463,0.2767329671076182,0.2767329671076182,236,4,,COCO_val2014_000000358883.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\images\COCO_val2014_000000358883.jpg,How do we know that this bathroom is probably in a high rise building?,view,relation_reasoning,low,paper2_stage3_multi_evidence_mechanism,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/answer.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/union.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/shifted.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/shuffled.png
qwen_evidence_first_0002,evidence_first_discovery,1,1,0,2,non_numeric,okvqa_val_00310,evidence_first,B_direct,subtract,F:L13:P93:ID7084,13,93,7084,visual_answer,answer_mask,0.2393536537861972,2738, View,576, The,12.75,18, The,12.75,18, The,33.0,20.3125,20.3125,4.25,-3.75,20.3125,4.25,16.0625,0.004225715063512325,-0.013052158057689667,0.004225715063512325,0.2393536537861972,0.2393536537861972,236,4,,COCO_val2014_000000358883.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\images\COCO_val2014_000000358883.jpg,How do we know that this bathroom is probably in a high rise building?,view,relation_reasoning,low,paper2_stage3_multi_evidence_mechanism,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/answer.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/union.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/shifted.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/shuffled.png
qwen_evidence_first_0003,evidence_first_discovery,1,1,0,3,non_numeric,okvqa_val_00310,evidence_first,B_direct,subtract,F:L13:P232:ID7084,13,232,7084,visual_answer,answer_mask,0.23531365398173446,2738, View,576, The,12.75,18, The,12.75,18, The,41.25,26.875,26.875,7.25,12.0,26.875,12.0,14.875,0.004225715063512325,-0.013052158057689667,0.004225715063512325,0.23531365398173446,0.23531365398173446,236,4,,COCO_val2014_000000358883.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\images\COCO_val2014_000000358883.jpg,How do we know that this bathroom is probably in a high rise building?,view,relation_reasoning,low,paper2_stage3_multi_evidence_mechanism,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/answer.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/union.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/shifted.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/shuffled.png
qwen_evidence_first_0004,evidence_first_discovery,1,1,0,4,non_numeric,okvqa_val_00310,evidence_first,B_direct,subtract,F:L13:P90:ID7084,13,90,7084,visual_answer,answer_mask,0.2117742511596471,2738, View,576, The,12.75,18, The,12.75,18, The,21.375,12.75,12.75,-3.375,-8.625,12.75,-3.375,16.125,0.004225715063512325,-0.013052158057689667,0.004225715063512325,0.2117742511596471,0.2117742511596471,236,4,,COCO_val2014_000000358883.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\images\COCO_val2014_000000358883.jpg,How do we know that this bathroom is probably in a high rise building?,view,relation_reasoning,low,paper2_stage3_multi_evidence_mechanism,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/answer.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/union.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/shifted.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/shuffled.png
qwen_evidence_first_0005,evidence_first_discovery,0,1,0,5,non_numeric,okvqa_val_00310,evidence_first,B_direct,subtract,F:L13:P90:ID6346,13,90,6346,visual_answer,answer_mask,0.19091495042643783,2738, View,576, The,12.75,18, The,12.75,18, The,27.25,2.75,2.75,-12.25,-8.25,2.75,-8.25,11.0,0.005194677971303463,-0.009766857139766216,0.005194677971303463,0.19091495042643783,0.19091495042643783,236,4,,COCO_val2014_000000358883.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\images\COCO_val2014_000000358883.jpg,How do we know that this bathroom is probably in a high rise building?,view,relation_reasoning,low,paper2_stage3_multi_evidence_mechanism,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/answer.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/union.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/shifted.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/shuffled.png
qwen_evidence_first_0006,evidence_first_discovery,0,1,0,6,non_numeric,okvqa_val_00310,evidence_first,B_direct,subtract,F:L13:P92:ID7084,13,92,7084,visual_answer,answer_mask,0.18046198234245814,2738, View,576, The,12.75,18, The,12.75,18, The,32.25,19.6875,19.6875,7.5,-2.0,19.6875,7.5,12.1875,0.004225715063512325,-0.013052158057689667,0.004225715063512325,0.18046198234245814,0.18046198234245814,236,4,,COCO_val2014_000000358883.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\images\COCO_val2014_000000358883.jpg,How do we know that this bathroom is probably in a high rise building?,view,relation_reasoning,low,paper2_stage3_multi_evidence_mechanism,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/answer.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/union.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/shifted.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/shuffled.png
qwen_evidence_first_0007,evidence_first_discovery,0,1,0,7,non_numeric,okvqa_val_00310,evidence_first,B_direct,subtract,F:L13:P248:ID7084,13,248,7084,visual_answer,answer_mask,0.1795570218584268,2738, View,576, The,12.75,18, The,12.75,18, The,33.5,13.75,13.75,1.0,1.75,13.75,1.75,12.0,0.004225715063512325,-0.013052158057689667,0.004225715063512325,0.1795570218584268,0.1795570218584268,236,4,,COCO_val2014_000000358883.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\images\COCO_val2014_000000358883.jpg,How do we know that this bathroom is probably in a high rise building?,view,relation_reasoning,low,paper2_stage3_multi_evidence_mechanism,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/answer.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/union.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/shifted.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/shuffled.png
qwen_evidence_first_0008,evidence_first_discovery,0,1,0,8,non_numeric,okvqa_val_00310,evidence_first,B_direct,subtract,F:L13:P107:ID7084,13,107,7084,visual_answer,answer_mask,0.17490294360458178,2738, View,576, The,12.75,18, The,12.75,18, The,29.375,19.25,19.25,7.125,3.0,19.25,7.125,12.125,0.004225715063512325,-0.013052158057689667,0.004225715063512325,0.17490294360458178,0.17490294360458178,236,4,,COCO_val2014_000000358883.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\images\COCO_val2014_000000358883.jpg,How do we know that this bathroom is probably in a high rise building?,view,relation_reasoning,low,paper2_stage3_multi_evidence_mechanism,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/answer.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/union.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/shifted.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000358883/shuffled.png
qwen_evidence_first_0009,evidence_first_discovery,1,1,1,1,non_numeric,okvqa_val_00893,evidence_first,B_direct,subtract,F:L13:P36:ID6403,13,36,6403,visual_answer,answer_mask,2.1709034956963666,63365,electric,22,7,15.375,5,7,15.375,5,7,48.0,32.875,32.875,9.75,3.75,32.875,9.75,23.125,0.024121593683958054,-0.006332586985081434,0.024121593683958054,2.1709034956963666,2.1709034956963666,347,4,,COCO_val2014_000000028236.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\images\COCO_val2014_000000028236.jpg,How does this train run?,electricity,relation_reasoning,low,paper2_stage3_multi_evidence_mechanism,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236/answer.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236/union.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236/shifted.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236/shuffled.png
qwen_evidence_first_0010,evidence_first_discovery,1,1,1,2,non_numeric,okvqa_val_00893,evidence_first,B_direct,subtract,F:L13:P108:ID6403,13,108,6403,visual_answer,answer_mask,1.6112270330126286,63365,electric,22,7,15.375,5,7,15.375,5,7,32.25,25.8125,25.8125,6.75,5.125,25.8125,6.75,19.0625,0.024121593683958054,-0.006332586985081434,0.024121593683958054,1.6112270330126286,1.6112270330126286,347,4,,COCO_val2014_000000028236.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\images\COCO_val2014_000000028236.jpg,How does this train run?,electricity,relation_reasoning,low,paper2_stage3_multi_evidence_mechanism,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236/answer.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236/union.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236/shifted.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236/shuffled.png
