model_family,sample_id,sample_type,condition,status,blocked_reason,question_text,answer_text,image_filename,target_token_id,target_token,target_logit,target_prob,target_rank,wrong_token_id,wrong_token,wrong_logit,wrong_rank,target_minus_wrong_margin,generated_text,predicted_answer,format_ok,empty_answer
gemma,okvqa_val_00310,relation_reasoning,clean,ok,,How do we know that this bathroom is probably in a high rise building?,view,COCO_val2014_000000358883.jpg,5841, View,-2.09375,3.293862279754566e-20,86720,432,�,42.75,1,-44.84375,The answer,the answer,1,0
gemma,okvqa_val_00310,relation_reasoning,mask_A,ok,,How do we know that this bathroom is probably in a high rise building?,view,COCO_val2014_000000358883.jpg,5841, View,-9.8125,3.4888519846902146e-25,178612,432,�,46.5,1,-56.3125,The answer,the answer,1,0
gemma,okvqa_val_00310,relation_reasoning,mask_B,ok,,How do we know that this bathroom is probably in a high rise building?,view,COCO_val2014_000000358883.jpg,5841, View,-2.734375,2.2471337154631868e-20,94728,432,�,42.5,1,-45.234375,The answer,the answer,1,0
gemma,okvqa_val_00310,relation_reasoning,mask_A_union_B,ok,,How do we know that this bathroom is probably in a high rise building?,view,COCO_val2014_000000358883.jpg,5841, View,-5.9375,5.2421654474849645e-21,142125,432,�,40.75,1,-46.6875,The answer,the answer,1,0
gemma,okvqa_val_00310,relation_reasoning,random_A_size,ok,,How do we know that this bathroom is probably in a high rise building?,view,COCO_val2014_000000358883.jpg,5841, View,-4.28125,3.2428607687795705e-23,109864,432,�,47.5,1,-51.78125,The answer,the answer,1,0
gemma,okvqa_val_00310,relation_reasoning,random_B_size,ok,,How do we know that this bathroom is probably in a high rise building?,view,COCO_val2014_000000358883.jpg,5841, View,-3.15625,5.421000037993725e-21,100854,432,�,43.5,1,-46.65625,The answer,the answer,1,0
gemma,okvqa_val_00310,relation_reasoning,random_union_size,ok,,How do we know that this bathroom is probably in a high rise building?,view,COCO_val2014_000000358883.jpg,5841, View,-2.0625,1.539037642808473e-19,88674,432,�,41.25,1,-43.3125,The answer,the answer,1,0
gemma,okvqa_val_00310,relation_reasoning,wrong_image,ok,,How do we know that this bathroom is probably in a high rise building?,view,COCO_val2014_000000358883.jpg,5841, View,-4.4375,7.133436672827623e-22,108934,432,�,44.25,1,-48.6875,It’,it,1,0
gemma,okvqa_val_00893,relation_reasoning,clean,ok,,How does this train run?,electricity,COCO_val2014_000000028236.jpg,124076,Electricity,22.875,4.905529107923634e-12,440,236770,1,48.5,1,-25.625,100%,100,1,0
gemma,okvqa_val_00893,relation_reasoning,mask_A,ok,,How does this train run?,electricity,COCO_val2014_000000028236.jpg,124076,Electricity,4.4375,2.2726021945489754e-21,25257,236770,1,51.75,1,-47.3125,12 tracks converge,12 tracks converge,1,0
