model_family,sample_id,sample_type,condition,status,blocked_reason,question_text,answer_text,image_filename,target_token_id,target_token,target_logit,target_prob,target_rank,wrong_token_id,wrong_token,wrong_logit,wrong_rank,target_minus_wrong_margin,generated_text,predicted_answer,format_ok,empty_answer
gemma,okvqa_val_02108,relation_reasoning,clean,ok,,Who invented the transportation device in this picture?,richard trevithick,COCO_val2014_000000160394.jpg,11181, Richard,13.125,3.3977598431220515e-14,8505,236770,1,43.75,1,-30.625,19th-,19th,1,0
gemma,okvqa_val_02108,relation_reasoning,mask_A,ok,,Who invented the transportation device in this picture?,richard trevithick,COCO_val2014_000000160394.jpg,40421,Richard,16.5,7.639235144257187e-15,2780,236770,1,49.0,1,-32.5,1886,1886,1,0
gemma,okvqa_val_02108,relation_reasoning,mask_B,ok,,Who invented the transportation device in this picture?,richard trevithick,COCO_val2014_000000160394.jpg,40421,Richard,14.5625,3.954344718424402e-13,5070,236770,1,43.0,1,-28.4375,19th-,19th,1,0
gemma,okvqa_val_02108,relation_reasoning,mask_A_union_B,ok,,Who invented the transportation device in this picture?,richard trevithick,COCO_val2014_000000160394.jpg,40421,Richard,18.0,9.317586036495379e-14,1486,236770,1,48.0,1,-30.0,1886,1886,1,0
gemma,okvqa_val_02108,relation_reasoning,random_A_size,ok,,Who invented the transportation device in this picture?,richard trevithick,COCO_val2014_000000160394.jpg,11181, Richard,19.625,3.85450169232502e-14,2007,255968,	,50.5,1,-30.875,Henry Ford invented,henry ford invented,1,0
gemma,okvqa_val_02108,relation_reasoning,random_B_size,ok,,Who invented the transportation device in this picture?,richard trevithick,COCO_val2014_000000160394.jpg,40421,Richard,11.25,1.7002422470017422e-15,11778,236770,1,45.25,1,-34.0,19th-,19th,1,0
gemma,okvqa_val_02108,relation_reasoning,random_union_size,ok,,Who invented the transportation device in this picture?,richard trevithick,COCO_val2014_000000160394.jpg,11181, Richard,12.75,1.0814563220634676e-12,5316,236770,1,40.25,1,-27.5,19th-,19th,1,0
gemma,okvqa_val_02108,relation_reasoning,wrong_image,ok,,Who invented the transportation device in this picture?,richard trevithick,COCO_val2014_000000160394.jpg,11181, Richard,4.40625,3.712738657886206e-19,35405,236812,4,46.75,1,-42.34375,4-legged livestock,4legged livestock,1,0
gemma,okvqa_val_01199,relation_reasoning,clean,ok,,What is the typical habitat for these animals?,wood,COCO_val2014_000000521236.jpg,31317,Wood,4.59375,5.621970191720732e-21,25513,108,"

",51.0,1,-46.40625,The answer is,,0,1
gemma,okvqa_val_01199,relation_reasoning,mask_A,ok,,What is the typical habitat for these animals?,wood,COCO_val2014_000000521236.jpg,5168,wood,17.75,2.1804097664489177e-15,1830,145948, coniferous,51.25,1,-33.5,coniferous forests and mountainous,coniferous forests and mountainous,1,0
gemma,okvqa_val_01199,relation_reasoning,mask_B,ok,,What is the typical habitat for these animals?,wood,COCO_val2014_000000521236.jpg,31317,Wood,2.109375,2.3671037425137158e-21,36093,188517, littoral,49.25,1,-47.140625,littoral zones along rocky,littoral zones along rocky,1,0
gemma,okvqa_val_01199,relation_reasoning,mask_A_union_B,ok,,What is the typical habitat for these animals?,wood,COCO_val2014_000000521236.jpg,5168,wood,17.75,2.1804097664489177e-15,1830,145948, coniferous,51.25,1,-33.5,coniferous forests and mountainous,coniferous forests and mountainous,1,0
gemma,okvqa_val_01199,relation_reasoning,random_A_size,ok,,What is the typical habitat for these animals?,wood,COCO_val2014_000000521236.jpg,5168,wood,22.25,5.233003090641779e-14,673,145948, coniferous,52.75,1,-30.5,coniferous forests and mountainous,coniferous forests and mountainous,1,0
gemma,okvqa_val_01199,relation_reasoning,random_B_size,ok,,What is the typical habitat for these animals?,wood,COCO_val2014_000000521236.jpg,31317,Wood,7.25,1.2574986614849564e-17,13175,108,"

",45.75,1,-38.5,Black bears typically,black bears typically,1,0
gemma,okvqa_val_01199,relation_reasoning,random_union_size,ok,,What is the typical habitat for these animals?,wood,COCO_val2014_000000521236.jpg,31317,Wood,24.625,2.0253857185154045e-12,422,153395, woodlands,51.0,1,-26.375,woodlands and forests with,woodlands and forests with,1,0
gemma,okvqa_val_01199,relation_reasoning,wrong_image,ok,,What is the typical habitat for these animals?,wood,COCO_val2014_000000521236.jpg,5168,wood,-2.9375,1.0676391741985791e-22,80532,188517, littoral,46.75,1,-49.6875,littoral zones of coastal,littoral zones of coastal,1,0
gemma,okvqa_val_00310,relation_reasoning,clean,ok,,How do we know that this bathroom is probably in a high rise building?,view,COCO_val2014_000000358883.jpg,5841, View,-2.09375,3.293862279754566e-20,86720,432,�,42.75,1,-44.84375,The answer,the answer,1,0
gemma,okvqa_val_00310,relation_reasoning,mask_A,ok,,How do we know that this bathroom is probably in a high rise building?,view,COCO_val2014_000000358883.jpg,5841, View,-9.8125,3.4888519846902146e-25,178612,432,�,46.5,1,-56.3125,The answer,the answer,1,0
gemma,okvqa_val_00310,relation_reasoning,mask_B,ok,,How do we know that this bathroom is probably in a high rise building?,view,COCO_val2014_000000358883.jpg,5841, View,-2.734375,2.2471337154631868e-20,94728,432,�,42.5,1,-45.234375,The answer,the answer,1,0
gemma,okvqa_val_00310,relation_reasoning,mask_A_union_B,ok,,How do we know that this bathroom is probably in a high rise building?,view,COCO_val2014_000000358883.jpg,5841, View,-5.9375,5.2421654474849645e-21,142125,432,�,40.75,1,-46.6875,The answer,the answer,1,0
gemma,okvqa_val_00310,relation_reasoning,random_A_size,ok,,How do we know that this bathroom is probably in a high rise building?,view,COCO_val2014_000000358883.jpg,5841, View,-4.28125,3.2428607687795705e-23,109864,432,�,47.5,1,-51.78125,The answer,the answer,1,0
gemma,okvqa_val_00310,relation_reasoning,random_B_size,ok,,How do we know that this bathroom is probably in a high rise building?,view,COCO_val2014_000000358883.jpg,5841, View,-3.15625,5.421000037993725e-21,100854,432,�,43.5,1,-46.65625,The answer,the answer,1,0
gemma,okvqa_val_00310,relation_reasoning,random_union_size,ok,,How do we know that this bathroom is probably in a high rise building?,view,COCO_val2014_000000358883.jpg,5841, View,-2.0625,1.539037642808473e-19,88674,432,�,41.25,1,-43.3125,The answer,the answer,1,0
gemma,okvqa_val_00310,relation_reasoning,wrong_image,ok,,How do we know that this bathroom is probably in a high rise building?,view,COCO_val2014_000000358883.jpg,5841, View,-4.4375,7.133436672827623e-22,108934,432,�,44.25,1,-48.6875,It’,it,1,0
gemma,okvqa_val_00893,relation_reasoning,clean,ok,,How does this train run?,electricity,COCO_val2014_000000028236.jpg,124076,Electricity,22.875,4.905529107923634e-12,440,236770,1,48.5,1,-25.625,100%,100,1,0
