model_family,sample_id,sample_type,condition,status,blocked_reason,question_text,answer_text,image_filename,target_token_id,target_token,target_logit,target_prob,target_rank,wrong_token_id,wrong_token,wrong_logit,wrong_rank,target_minus_wrong_margin,generated_text,predicted_answer,format_ok,empty_answer
qwen,okvqa_val_00310,relation_reasoning,clean,ok,,How do we know that this bathroom is probably in a high rise building?,view,COCO_val2014_000000358883.jpg,2738, View,12.75,0.0036288220435380936,18,576, The,17.625,1,-4.875,the large window and,the large window and,1,0
qwen,okvqa_val_00310,relation_reasoning,mask_A,ok,,How do we know that this bathroom is probably in a high rise building?,view,COCO_val2014_000000358883.jpg,1651, view,9.9375,0.001255394658073783,40,576, The,15.25,1,-5.3125,There's no clear,theres no clear,1,0
qwen,okvqa_val_00310,relation_reasoning,mask_B,ok,,How do we know that this bathroom is probably in a high rise building?,view,COCO_val2014_000000358883.jpg,2738, View,11.75,0.008092188276350498,12,576, The,15.8125,1,-4.0625,The view from the,the view from the,1,0
qwen,okvqa_val_00310,relation_reasoning,mask_A_union_B,ok,,How do we know that this bathroom is probably in a high rise building?,view,COCO_val2014_000000358883.jpg,1651, view,8.625,0.0001430937263648957,187,2619, There,15.75,1,-7.125,There's a window,theres a window,1,0
qwen,okvqa_val_00310,relation_reasoning,random_A_size,ok,,How do we know that this bathroom is probably in a high rise building?,view,COCO_val2014_000000358883.jpg,1651, view,10.75,0.0024422944989055395,24,576, The,15.375,1,-4.625,the window view suggests,the window view suggests,1,0
qwen,okvqa_val_00310,relation_reasoning,random_B_size,ok,,How do we know that this bathroom is probably in a high rise building?,view,COCO_val2014_000000358883.jpg,2738, View,12.375,0.0021627447567880154,26,576, The,17.75,1,-5.375,the large window and,the large window and,1,0
qwen,okvqa_val_00310,relation_reasoning,random_union_size,ok,,How do we know that this bathroom is probably in a high rise building?,view,COCO_val2014_000000358883.jpg,2738, View,12.3125,0.009386761114001274,15,576, The,16.25,1,-3.9375,The view of the,the view of the,1,0
qwen,okvqa_val_00310,relation_reasoning,wrong_image,ok,,How do we know that this bathroom is probably in a high rise building?,view,COCO_val2014_000000358883.jpg,1651, view,5.125,9.124303801399947e-07,2322,15,0,18.0,1,-12.875,0.,0,1,0
qwen,okvqa_val_00893,relation_reasoning,clean,ok,,How does this train run?,electricity,COCO_val2014_000000028236.jpg,63365,electric,15.375,0.0634477511048317,5,22,7,16.375,1,-1.0,7212,7212,1,0
qwen,okvqa_val_00893,relation_reasoning,mask_A,ok,,How does this train run?,electricity,COCO_val2014_000000028236.jpg,63365,electric,8.4375,0.0003360839909873903,85,17,2,14.625,1,-6.1875,2023,2023,1,0
qwen,okvqa_val_00893,relation_reasoning,mask_B,ok,,How does this train run?,electricity,COCO_val2014_000000028236.jpg,63365,electric,14.75,0.052952900528907776,6,22,7,16.125,1,-1.375,7212,7212,1,0
qwen,okvqa_val_00893,relation_reasoning,mask_A_union_B,ok,,How does this train run?,electricity,COCO_val2014_000000028236.jpg,63365,electric,8.0625,0.0001379059540340677,126,17,2,15.5,1,-7.4375,2 tracks.,2 tracks,1,0
qwen,okvqa_val_00893,relation_reasoning,random_A_size,ok,,How does this train run?,electricity,COCO_val2014_000000028236.jpg,63365,electric,8.5625,0.0002102133585140109,117,17,2,15.5625,1,-7.0,2.,2,1,0
qwen,okvqa_val_00893,relation_reasoning,random_B_size,ok,,How does this train run?,electricity,COCO_val2014_000000028236.jpg,63365,electric,13.9375,0.03818318620324135,8,22,7,15.3125,1,-1.375,7212,7212,1,0
qwen,okvqa_val_00893,relation_reasoning,random_union_size,ok,,How does this train run?,electricity,COCO_val2014_000000028236.jpg,63365,electric,13.375,0.020479820668697357,9,17,2,15.5625,1,-2.1875,2023,2023,1,0
qwen,okvqa_val_00893,relation_reasoning,wrong_image,ok,,How does this train run?,electricity,COCO_val2014_000000028236.jpg,17728, electricity,2.765625,7.357270419561246e-07,3081,19,4,16.75,1,-13.984375,4 legs.,4 legs,1,0
qwen,okvqa_val_02108,relation_reasoning,clean,ok,,Who invented the transportation device in this picture?,richard trevithick,COCO_val2014_000000160394.jpg,11867, Richard,8.1875,0.011170177720487118,9,9857, George,11.4375,1,-3.25,George Stephenson.,george stephenson,1,0
qwen,okvqa_val_02108,relation_reasoning,mask_A,ok,,Who invented the transportation device in this picture?,richard trevithick,COCO_val2014_000000160394.jpg,11867, Richard,9.1875,0.013327741995453835,12,11108, Thomas,11.6875,1,-2.5,Thomas Edison.,thomas edison,1,0
qwen,okvqa_val_02108,relation_reasoning,mask_B,ok,,Who invented the transportation device in this picture?,richard trevithick,COCO_val2014_000000160394.jpg,11867, Richard,8.8125,0.01776742935180664,6,9857, George,12.0,1,-3.1875,George Stephenson.,george stephenson,1,0
qwen,okvqa_val_02108,relation_reasoning,mask_A_union_B,ok,,Who invented the transportation device in this picture?,richard trevithick,COCO_val2014_000000160394.jpg,11867, Richard,9.875,0.023914529010653496,8,11108, Thomas,11.9375,1,-2.0625,Thomas Edison.,thomas edison,1,0
qwen,okvqa_val_02108,relation_reasoning,random_A_size,ok,,Who invented the transportation device in this picture?,richard trevithick,COCO_val2014_000000160394.jpg,11867, Richard,9.375,0.026101810857653618,5,9857, George,12.1875,1,-2.8125,George Stephenson.,george stephenson,1,0
qwen,okvqa_val_02108,relation_reasoning,random_B_size,ok,,Who invented the transportation device in this picture?,richard trevithick,COCO_val2014_000000160394.jpg,11867, Richard,8.625,0.015251196920871735,6,9857, George,12.0,1,-3.375,George Stephenson.,george stephenson,1,0
qwen,okvqa_val_02108,relation_reasoning,random_union_size,ok,,Who invented the transportation device in this picture?,richard trevithick,COCO_val2014_000000160394.jpg,11867, Richard,9.3125,0.02458835206925869,5,9857, George,12.4375,1,-3.125,George Stephenson.,george stephenson,1,0
