record_type,sample_id,prompt_name,analysis_group,reasoning_operation,image_dependence_tier,target_answer,target_token_id,target_token,top_k,actual_k,control_group,mask_condition,candidate_ids,feature_ids,positions,activation_drop_sum,clean_activation_sum,target_logit_effect,target_rank_effect,wrong_logit_effect,wrong_rank_effect,gap_closure,clean_target_logit,mask_target_logit,clean_target_rank,mask_target_rank
activation_drop,okvqa_val_00310,B_direct,non_numeric,relation_reasoning,low,view,2738, View,1,1,source,answer_mask,qwen_evidence_first_0001,6346,30,20.625,45.0,,,,,,12.625,7.5,26,464
group_restore,okvqa_val_00310,B_direct,non_numeric,relation_reasoning,low,view,2738, View,1,1,source,answer_mask,qwen_evidence_first_0001,6346,30,20.625,45.0,0.03125,18,0.0,0,0.006097560975609756,12.625,7.5,26,464
activation_drop,okvqa_val_00310,B_direct,non_numeric,relation_reasoning,low,view,2738, View,1,1,same_position_matched_feature_control,answer_mask,qwen_evidence_first_0001,7909,30,18.625,18.625,,,,,,12.625,7.5,26,464
group_restore,okvqa_val_00310,B_direct,non_numeric,relation_reasoning,low,view,2738, View,1,1,same_position_matched_feature_control,answer_mask,qwen_evidence_first_0001,7909,30,18.625,18.625,0.0625,12,0.0625,0,0.012195121951219513,12.625,7.5,26,464
activation_drop,okvqa_val_00310,B_direct,non_numeric,relation_reasoning,low,view,2738, View,1,1,same_feature_random_position_control,answer_mask,qwen_evidence_first_0001,6346,130,17.25,43.5,,,,,,12.625,7.5,26,464
group_restore,okvqa_val_00310,B_direct,non_numeric,relation_reasoning,low,view,2738, View,1,1,same_feature_random_position_control,answer_mask,qwen_evidence_first_0001,6346,130,17.25,43.5,0.0625,26,0.0,0,0.012195121951219513,12.625,7.5,26,464
activation_drop,okvqa_val_00310,B_direct,non_numeric,relation_reasoning,low,view,2738, View,1,1,random_active_feature_control,answer_mask,qwen_evidence_first_0001,166,30,2.59375,2.59375,,,,,,12.625,7.5,26,464
group_restore,okvqa_val_00310,B_direct,non_numeric,relation_reasoning,low,view,2738, View,1,1,random_active_feature_control,answer_mask,qwen_evidence_first_0001,166,30,2.59375,2.59375,0.09375,28,0.0,0,0.018292682926829267,12.625,7.5,26,464
activation_drop,okvqa_val_00310,B_direct,non_numeric,relation_reasoning,low,view,2738, View,4,4,source,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,6346|7084|7084|7084,30|93|232|90,76.8125,140.25,,,,,,12.625,7.5,26,464
group_restore,okvqa_val_00310,B_direct,non_numeric,relation_reasoning,low,view,2738, View,4,4,source,answer_mask,qwen_evidence_first_0001|qwen_evidence_first_0002|qwen_evidence_first_0003|qwen_evidence_first_0004,6346|7084|7084|7084,30|93|232|90,76.8125,140.25,0.03125,-1,0.0625,0,0.006097560975609756,12.625,7.5,26,464
