rank,sample_id,question_text,answer_text,image_filename,image_url,local_image_path,original_image_path,sample_type,region_A_role,region_B_role,mask_dir,region_A_mask_path,region_B_mask_path,region_A_union_B_mask_path,random_A_size_mask_path,random_B_size_mask_path,random_union_size_mask_path,wrong_image_sample_id,wrong_image_filename,wrong_image_path,candidate_source,legacy_visual_type_label,legacy_knowledge_level_label,annotation_status
1,okvqa_val_02108,Who invented the transportation device in this picture?,richard trevithick,COCO_val2014_000000160394.jpg,images/COCO_val2014_000000160394.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\images\COCO_val2014_000000160394.jpg,E:\Bridging\annotation\okvqa_type_label_round4_400_mobile_package\images\COCO_val2014_000000160394.jpg,relation_reasoning,object or actor participating in relation,related object/context needed to resolve relation,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000160394,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000160394\region_A.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000160394\region_B.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000160394\region_A_union_B.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000160394\random_A_size.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000160394\random_B_size.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000160394\random_union_size.png,okvqa_val_01236,COCO_val2014_000000573455.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\images\COCO_val2014_000000573455.jpg,annotation\okvqa_type_label_round4_400_mobile_package\manifest.csv,multi_region,high,needs_region_masks
2,okvqa_val_01236,How many stomachs does this animal have?,3,COCO_val2014_000000573455.jpg,images/COCO_val2014_000000573455.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\images\COCO_val2014_000000573455.jpg,E:\Bridging\annotation\okvqa_type_label_round4_400_mobile_package\images\COCO_val2014_000000573455.jpg,relation_reasoning,object or actor participating in relation,related object/context needed to resolve relation,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000573455,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000573455\region_A.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000573455\region_B.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000573455\region_A_union_B.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000573455\random_A_size.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000573455\random_B_size.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000573455\random_union_size.png,okvqa_val_04292,COCO_val2014_000000152360.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\images\COCO_val2014_000000152360.jpg,annotation\okvqa_type_label_round4_400_mobile_package\manifest.csv,multi_region,high,needs_region_masks
3,okvqa_val_04292,Are the leaves of the plant that produce this yellow fruit long or short?,long,COCO_val2014_000000152360.jpg,images/COCO_val2014_000000152360.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\images\COCO_val2014_000000152360.jpg,E:\Bridging\annotation\okvqa_type_label_round4_400_mobile_package\images\COCO_val2014_000000152360.jpg,relation_reasoning,object or actor participating in relation,related object/context needed to resolve relation,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000152360,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000152360\region_A.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000152360\region_B.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000152360\region_A_union_B.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000152360\random_A_size.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000152360\random_B_size.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000152360\random_union_size.png,okvqa_val_01199,COCO_val2014_000000521236.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\images\COCO_val2014_000000521236.jpg,annotation\okvqa_type_label_round4_400_mobile_package\manifest.csv,multi_region,medium,needs_region_masks
4,okvqa_val_01199,What is the typical habitat for these animals?,wood,COCO_val2014_000000521236.jpg,images/COCO_val2014_000000521236.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\images\COCO_val2014_000000521236.jpg,E:\Bridging\annotation\okvqa_type_label_round4_400_mobile_package\images\COCO_val2014_000000521236.jpg,relation_reasoning,object or actor participating in relation,related object/context needed to resolve relation,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000521236,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000521236\region_A.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000521236\region_B.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000521236\region_A_union_B.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000521236\random_A_size.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000521236\random_B_size.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000521236\random_union_size.png,okvqa_val_02359,COCO_val2014_000000507766.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\images\COCO_val2014_000000507766.jpg,annotation\okvqa_type_label_round4_400_mobile_package\manifest.csv,multi_region,medium,needs_region_masks
5,okvqa_val_02359,What kind of birds are these?,seagull,COCO_val2014_000000507766.jpg,images/COCO_val2014_000000507766.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\images\COCO_val2014_000000507766.jpg,E:\Bridging\annotation\okvqa_type_label_round4_400_mobile_package\images\COCO_val2014_000000507766.jpg,relation_reasoning,object or actor participating in relation,related object/context needed to resolve relation,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000507766,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000507766\region_A.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000507766\region_B.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000507766\region_A_union_B.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000507766\random_A_size.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000507766\random_B_size.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000507766\random_union_size.png,okvqa_val_02785,COCO_val2014_000000422622.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\images\COCO_val2014_000000422622.jpg,annotation\okvqa_type_label_round4_400_mobile_package\manifest.csv,multi_region,medium,needs_region_masks
6,okvqa_val_02785,What condition are these athletes trying to prevent with their clothing?,hypothermia,COCO_val2014_000000422622.jpg,images/COCO_val2014_000000422622.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\images\COCO_val2014_000000422622.jpg,E:\Bridging\annotation\okvqa_type_label_round4_400_mobile_package\images\COCO_val2014_000000422622.jpg,relation_reasoning,object or actor participating in relation,related object/context needed to resolve relation,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000422622,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000422622\region_A.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000422622\region_B.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000422622\region_A_union_B.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000422622\random_A_size.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000422622\random_B_size.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000422622\random_union_size.png,okvqa_val_00310,COCO_val2014_000000358883.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\images\COCO_val2014_000000358883.jpg,annotation\okvqa_type_label_round4_400_mobile_package\manifest.csv,multi_region,medium,needs_region_masks
7,okvqa_val_00310,How do we know that this bathroom is probably in a high rise building?,view,COCO_val2014_000000358883.jpg,images/COCO_val2014_000000358883.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\images\COCO_val2014_000000358883.jpg,E:\Bridging\annotation\okvqa_type_label_round4_400_mobile_package\images\COCO_val2014_000000358883.jpg,relation_reasoning,object or actor participating in relation,related object/context needed to resolve relation,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000358883,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000358883\region_A.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000358883\region_B.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000358883\region_A_union_B.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000358883\random_A_size.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000358883\random_B_size.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000358883\random_union_size.png,okvqa_val_00893,COCO_val2014_000000028236.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\images\COCO_val2014_000000028236.jpg,annotation\okvqa_type_label_round4_400_mobile_package\manifest.csv,multi_region,low,needs_region_masks
8,okvqa_val_00893,How does this train run?,electricity,COCO_val2014_000000028236.jpg,images/COCO_val2014_000000028236.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\images\COCO_val2014_000000028236.jpg,E:\Bridging\annotation\okvqa_type_label_round4_400_mobile_package\images\COCO_val2014_000000028236.jpg,relation_reasoning,object or actor participating in relation,related object/context needed to resolve relation,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000028236,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000028236\region_A.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000028236\region_B.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000028236\region_A_union_B.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000028236\random_A_size.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000028236\random_B_size.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000028236\random_union_size.png,okvqa_val_01692,COCO_val2014_000000229753.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\images\COCO_val2014_000000229753.jpg,annotation\okvqa_type_label_round4_400_mobile_package\manifest.csv,multi_region,low,needs_region_masks
9,okvqa_val_01692,What do these animals eat?,leaf,COCO_val2014_000000229753.jpg,images/COCO_val2014_000000229753.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\images\COCO_val2014_000000229753.jpg,E:\Bridging\annotation\okvqa_type_label_round4_400_mobile_package\images\COCO_val2014_000000229753.jpg,relation_reasoning,object or actor participating in relation,related object/context needed to resolve relation,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000229753,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000229753\region_A.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000229753\region_B.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000229753\region_A_union_B.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000229753\random_A_size.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000229753\random_B_size.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000229753\random_union_size.png,okvqa_val_01960,COCO_val2014_000000546964.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\images\COCO_val2014_000000546964.jpg,annotation\okvqa_type_label_round4_400_mobile_package\manifest.csv,multi_region,low,needs_region_masks
10,okvqa_val_01960,What kind of couch is that?,sofa,COCO_val2014_000000546964.jpg,images/COCO_val2014_000000546964.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\images\COCO_val2014_000000546964.jpg,E:\Bridging\annotation\okvqa_type_label_round4_400_mobile_package\images\COCO_val2014_000000546964.jpg,relation_reasoning,object or actor participating in relation,related object/context needed to resolve relation,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000546964,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000546964\region_A.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000546964\region_B.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000546964\region_A_union_B.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000546964\random_A_size.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000546964\random_B_size.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\exported_masks\COCO_val2014_000000546964\random_union_size.png,okvqa_val_03127,COCO_val2014_000000223554.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_ab_evidence_pack_v1\images\COCO_val2014_000000223554.jpg,annotation\okvqa_type_label_round4_400_mobile_package\manifest.csv,multi_region,low,needs_region_masks
