rank,sample_id,question_text,answer_text,image_filename,image_url,local_image_path,original_image_path,sample_type,region_A_role,region_B_role,mask_dir,region_A_mask_path,region_B_mask_path,region_A_union_B_mask_path,random_A_size_mask_path,random_B_size_mask_path,random_union_size_mask_path,wrong_image_sample_id,wrong_image_filename,wrong_image_path,candidate_source,legacy_visual_type_label,legacy_knowledge_level_label,annotation_status
1,okvqa_val_02108,Who invented the transportation device in this picture?,richard trevithick,COCO_val2014_000000160394.jpg,images/COCO_val2014_000000160394.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\images\COCO_val2014_000000160394.jpg,E:\Bridging\annotation\okvqa_type_label_round4_400_mobile_package\images\COCO_val2014_000000160394.jpg,relation_reasoning,object or actor participating in relation,related object/context needed to resolve relation,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000160394,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000160394\region_A.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000160394\region_B.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000160394\region_A_union_B.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000160394\random_A_size.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000160394\random_B_size.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000160394\random_union_size.png,okvqa_val_01236,COCO_val2014_000000573455.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\images\COCO_val2014_000000573455.jpg,annotation\okvqa_type_label_round4_400_mobile_package\manifest.csv,multi_region,high,needs_region_masks
4,okvqa_val_01199,What is the typical habitat for these animals?,wood,COCO_val2014_000000521236.jpg,images/COCO_val2014_000000521236.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\images\COCO_val2014_000000521236.jpg,E:\Bridging\annotation\okvqa_type_label_round4_400_mobile_package\images\COCO_val2014_000000521236.jpg,relation_reasoning,object or actor participating in relation,related object/context needed to resolve relation,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000521236,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000521236\region_A.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000521236\region_B.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000521236\region_A_union_B.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000521236\random_A_size.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000521236\random_B_size.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000521236\random_union_size.png,okvqa_val_02359,COCO_val2014_000000507766.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\images\COCO_val2014_000000507766.jpg,annotation\okvqa_type_label_round4_400_mobile_package\manifest.csv,multi_region,medium,needs_region_masks
7,okvqa_val_00310,How do we know that this bathroom is probably in a high rise building?,view,COCO_val2014_000000358883.jpg,images/COCO_val2014_000000358883.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\images\COCO_val2014_000000358883.jpg,E:\Bridging\annotation\okvqa_type_label_round4_400_mobile_package\images\COCO_val2014_000000358883.jpg,relation_reasoning,object or actor participating in relation,related object/context needed to resolve relation,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000358883,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000358883\region_A.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000358883\region_B.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000358883\region_A_union_B.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000358883\random_A_size.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000358883\random_B_size.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000358883\random_union_size.png,okvqa_val_00893,COCO_val2014_000000028236.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\images\COCO_val2014_000000028236.jpg,annotation\okvqa_type_label_round4_400_mobile_package\manifest.csv,multi_region,low,needs_region_masks
8,okvqa_val_00893,How does this train run?,electricity,COCO_val2014_000000028236.jpg,images/COCO_val2014_000000028236.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\images\COCO_val2014_000000028236.jpg,E:\Bridging\annotation\okvqa_type_label_round4_400_mobile_package\images\COCO_val2014_000000028236.jpg,relation_reasoning,object or actor participating in relation,related object/context needed to resolve relation,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000028236,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000028236\region_A.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000028236\region_B.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000028236\region_A_union_B.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000028236\random_A_size.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000028236\random_B_size.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000028236\random_union_size.png,okvqa_val_01692,COCO_val2014_000000229753.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\images\COCO_val2014_000000229753.jpg,annotation\okvqa_type_label_round4_400_mobile_package\manifest.csv,multi_region,low,needs_region_masks
10,okvqa_val_01960,What kind of couch is that?,sofa,COCO_val2014_000000546964.jpg,images/COCO_val2014_000000546964.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\images\COCO_val2014_000000546964.jpg,E:\Bridging\annotation\okvqa_type_label_round4_400_mobile_package\images\COCO_val2014_000000546964.jpg,relation_reasoning,object or actor participating in relation,related object/context needed to resolve relation,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000546964,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000546964\region_A.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000546964\region_B.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000546964\region_A_union_B.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000546964\random_A_size.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000546964\random_B_size.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000546964\random_union_size.png,okvqa_val_03127,COCO_val2014_000000223554.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\images\COCO_val2014_000000223554.jpg,annotation\okvqa_type_label_round4_400_mobile_package\manifest.csv,multi_region,low,needs_region_masks
12,okvqa_val_01256,Which fashion conscious sisters are famous for playing this game?,williams,COCO_val2014_000000562581.jpg,images/COCO_val2014_000000562581.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\images\COCO_val2014_000000562581.jpg,E:\Bridging\annotation\okvqa_type_label_round4_400_mobile_package\images\COCO_val2014_000000562581.jpg,comparison_reasoning,first compared object / quantity,second compared object / quantity,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000562581,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000562581\region_A.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000562581\region_B.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000562581\region_A_union_B.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000562581\random_A_size.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000562581\random_B_size.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000562581\random_union_size.png,okvqa_val_00528,COCO_val2014_000000081361.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\images\COCO_val2014_000000081361.jpg,annotation\okvqa_type_label_round4_400_mobile_package\manifest.csv,localized,high,needs_region_masks
14,okvqa_val_01672,What is the most common kind of cheese used in this dish?,mozzarella,COCO_val2014_000000007787.jpg,images/COCO_val2014_000000007787.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\images\COCO_val2014_000000007787.jpg,E:\Bridging\annotation\okvqa_type_label_round4_400_mobile_package\images\COCO_val2014_000000007787.jpg,comparison_reasoning,first compared object / quantity,second compared object / quantity,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000007787,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000007787\region_A.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000007787\region_B.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000007787\region_A_union_B.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000007787\random_A_size.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000007787\random_B_size.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000007787\random_union_size.png,okvqa_val_01804,COCO_val2014_000000345456.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\images\COCO_val2014_000000345456.jpg,annotation\okvqa_type_label_round4_400_mobile_package\manifest.csv,localized,medium,needs_region_masks
17,okvqa_val_1171125,Which material is used for making the sofa set shown in this picture?,polyester,COCO_val2014_000000117112.jpg,images/COCO_val2014_000000117112.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\images\COCO_val2014_000000117112.jpg,E:\Bridging\annotation\okvqa_type_label_round4_400_mobile_package\images\COCO_val2014_000000117112.jpg,comparison_reasoning,first compared object / quantity,second compared object / quantity,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000117112,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000117112\region_A.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000117112\region_B.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000117112\region_A_union_B.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000117112\random_A_size.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000117112\random_B_size.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000117112\random_union_size.png,okvqa_val_1686835,COCO_val2014_000000168683.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\images\COCO_val2014_000000168683.jpg,annotation\okvqa_type_label_round4_400_mobile_package\manifest.csv,,,needs_region_masks
18,okvqa_val_1686835,Which item shown here is a compound word derived from the name of the human cranium and the telephone?,headphone,COCO_val2014_000000168683.jpg,images/COCO_val2014_000000168683.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\images\COCO_val2014_000000168683.jpg,E:\Bridging\annotation\okvqa_type_label_round4_400_mobile_package\images\COCO_val2014_000000168683.jpg,comparison_reasoning,first compared object / quantity,second compared object / quantity,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000168683,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000168683\region_A.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000168683\region_B.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000168683\region_A_union_B.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000168683\random_A_size.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000168683\random_B_size.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000168683\random_union_size.png,okvqa_val_1860605,COCO_val2014_000000186060.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\images\COCO_val2014_000000186060.jpg,annotation\okvqa_type_label_round4_400_mobile_package\manifest.csv,,,needs_region_masks
20,okvqa_val_258605,What is this room mostly used for?,cook,COCO_val2014_000000025860.jpg,images/COCO_val2014_000000025860.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\images\COCO_val2014_000000025860.jpg,E:\Bridging\annotation\okvqa_type_label_round4_400_mobile_package\images\COCO_val2014_000000025860.jpg,comparison_reasoning,first compared object / quantity,second compared object / quantity,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000025860,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000025860\region_A.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000025860\region_B.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000025860\region_A_union_B.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000025860\random_A_size.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000025860\random_B_size.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\exported_masks\COCO_val2014_000000025860\random_union_size.png,okvqa_val_03979,COCO_val2014_000000302787.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage1_mask_behavior_assets_v1\images\COCO_val2014_000000302787.jpg,annotation\okvqa_type_label_round4_400_mobile_package\manifest.csv,,,needs_region_masks
