model,lens,stage1_label,sample_id,layer,candidate_id,source_pos,source_feature_id,target_effect,rank_effect,score,clean_source_minus_controls,real_source_effect,real_minus_shifted,real_minus_shuffled,real_target_minus_wrong,status,clean_target_rank,mask_condition,position_group,target_minus_wrong,top_k,wrong_effect
gemma,hidden_restore,one_region_dominated,okvqa_val_00893,1,,,,14.9375,17820.0,,,,,,,ok,,answer_mask,visual_span,nan,,
gemma,hidden_restore,one_region_dominated,okvqa_val_00893,1,,,,0.0625,318.0,,,,,,,ok,,answer_mask,answer_adjacent,nan,,
gemma,hidden_restore,one_region_dominated,okvqa_val_00893,1,,,,-2.875,-12135.0,,,,,,,ok,,answer_mask,top_hidden_delta,nan,,
gemma,hidden_restore,one_region_dominated,okvqa_val_00893,1,,,,14.9375,17854.0,,,,,,,ok,,answer_mask,visual+answer,nan,,
gemma,hidden_restore,one_region_dominated,okvqa_val_00893,1,,,,14.9375,17820.0,,,,,,,ok,,union_mask,visual_span,nan,,
gemma,hidden_restore,one_region_dominated,okvqa_val_00893,1,,,,0.0625,318.0,,,,,,,ok,,union_mask,answer_adjacent,nan,,
gemma,hidden_restore,one_region_dominated,okvqa_val_00893,1,,,,-2.875,-12135.0,,,,,,,ok,,union_mask,top_hidden_delta,nan,,
gemma,hidden_restore,one_region_dominated,okvqa_val_00893,1,,,,14.9375,17854.0,,,,,,,ok,,union_mask,visual+answer,nan,,
gemma,hidden_restore,one_region_dominated,okvqa_val_00893,1,,,,21.782470703125,53314.0,,,,,,,ok,,shifted_mask,visual_span,nan,,
gemma,hidden_restore,one_region_dominated,okvqa_val_00893,1,,,,0.141357421875,913.0,,,,,,,ok,,shifted_mask,answer_adjacent,nan,,
gemma,hidden_restore,one_region_dominated,okvqa_val_00893,1,,,,2.188720703125,21777.0,,,,,,,ok,,shifted_mask,top_hidden_delta,nan,,
gemma,hidden_restore,one_region_dominated,okvqa_val_00893,1,,,,22.032470703125,53336.0,,,,,,,ok,,shifted_mask,visual+answer,nan,,
gemma,hidden_restore,one_region_dominated,okvqa_val_00893,1,,,,16.78125,24908.0,,,,,,,ok,,shuffled_mask,visual_span,nan,,
gemma,hidden_restore,one_region_dominated,okvqa_val_00893,1,,,,-0.125,-194.0,,,,,,,ok,,shuffled_mask,answer_adjacent,nan,,
gemma,hidden_restore,one_region_dominated,okvqa_val_00893,1,,,,-4.0625,-18492.0,,,,,,,ok,,shuffled_mask,top_hidden_delta,nan,,
gemma,hidden_restore,one_region_dominated,okvqa_val_00893,1,,,,17.28125,24961.0,,,,,,,ok,,shuffled_mask,visual+answer,nan,,
gemma,hidden_restore,one_region_dominated,okvqa_val_02108,1,,,,-0.8125,-3313.0,,,,,,,ok,,answer_mask,visual_span,nan,,
gemma,hidden_restore,one_region_dominated,okvqa_val_02108,1,,,,-0.5625,-378.0,,,,,,,ok,,answer_mask,answer_adjacent,nan,,
gemma,hidden_restore,one_region_dominated,okvqa_val_02108,1,,,,-3.375,-6782.0,,,,,,,ok,,answer_mask,top_hidden_delta,nan,,
gemma,hidden_restore,one_region_dominated,okvqa_val_02108,1,,,,-0.6875,-3385.0,,,,,,,ok,,answer_mask,visual+answer,nan,,
gemma,hidden_restore,one_region_dominated,okvqa_val_02108,1,,,,-0.8125,-3313.0,,,,,,,ok,,union_mask,visual_span,nan,,
gemma,hidden_restore,one_region_dominated,okvqa_val_02108,1,,,,-0.5625,-378.0,,,,,,,ok,,union_mask,answer_adjacent,nan,,
gemma,hidden_restore,one_region_dominated,okvqa_val_02108,1,,,,-3.375,-6782.0,,,,,,,ok,,union_mask,top_hidden_delta,nan,,
gemma,hidden_restore,one_region_dominated,okvqa_val_02108,1,,,,-0.6875,-3385.0,,,,,,,ok,,union_mask,visual+answer,nan,,
gemma,hidden_restore,one_region_dominated,okvqa_val_02108,1,,,,-6.0,-6984.0,,,,,,,ok,,shifted_mask,visual_span,nan,,
gemma,hidden_restore,one_region_dominated,okvqa_val_02108,1,,,,-0.125,-169.0,,,,,,,ok,,shifted_mask,answer_adjacent,nan,,
gemma,hidden_restore,one_region_dominated,okvqa_val_02108,1,,,,-4.8125,-2856.0,,,,,,,ok,,shifted_mask,top_hidden_delta,nan,,
gemma,hidden_restore,one_region_dominated,okvqa_val_02108,1,,,,-5.875,-6457.0,,,,,,,ok,,shifted_mask,visual+answer,nan,,
gemma,hidden_restore,one_region_dominated,okvqa_val_02108,1,,,,1.875,6340.0,,,,,,,ok,,shuffled_mask,visual_span,nan,,
gemma,hidden_restore,one_region_dominated,okvqa_val_02108,1,,,,-0.125,-280.0,,,,,,,ok,,shuffled_mask,answer_adjacent,nan,,
gemma,hidden_restore,one_region_dominated,okvqa_val_02108,1,,,,-1.1875,-851.0,,,,,,,ok,,shuffled_mask,top_hidden_delta,nan,,
