model_family,sample_id,sample_type,condition,status,blocked_reason,question_text,answer_text,image_filename,target_token_id,target_token,target_logit,target_prob,target_rank,wrong_token_id,wrong_token,wrong_logit,wrong_rank,target_minus_wrong_margin,generated_text,predicted_answer,format_ok,empty_answer
gemma,okvqa_val_02108,relation_reasoning,clean,ok,,Who invented the transportation device in this picture?,richard trevithick,COCO_val2014_000000160394.jpg,11181, Richard,13.125,3.3977598431220515e-14,8505,236770,1,43.75,1,-30.625,19th-,19th,1,0
gemma,okvqa_val_02108,relation_reasoning,wrong_image,ok,,Who invented the transportation device in this picture?,richard trevithick,COCO_val2014_000000160394.jpg,11181, Richard,4.40625,3.712738657886206e-19,35405,236812,4,46.75,1,-42.34375,4-legged livestock,4legged livestock,1,0
gemma,okvqa_val_01236,relation_reasoning,clean,ok,,How many stomachs does this animal have?,3,COCO_val2014_000000573455.jpg,236800,3,47.25,6.825598575233016e-08,5,236812,4,63.75,1,-16.5,4.,4,1,0
gemma,okvqa_val_01236,relation_reasoning,wrong_image,ok,,How many stomachs does this animal have?,3,COCO_val2014_000000573455.jpg,236800,3,24.5,2.061149695364861e-09,7,236771,0,44.5,1,-20.0,0.,0,1,0
gemma,okvqa_val_04292,relation_reasoning,clean,ok,,Are the leaves of the plant that produce this yellow fruit long or short?,long,COCO_val2014_000000152360.jpg,12059,Long,16.75,3.9829145129309084e-15,2202,108,"

",49.75,1,-33.0,The answer is,,0,1
gemma,okvqa_val_04292,relation_reasoning,wrong_image,ok,,Are the leaves of the plant that produce this yellow fruit long or short?,long,COCO_val2014_000000152360.jpg,12059,Long,23.0,1.1563512192051817e-13,446,108,"

",52.75,1,-29.75,The answer is,,0,1
gemma,okvqa_val_01199,relation_reasoning,clean,ok,,What is the typical habitat for these animals?,wood,COCO_val2014_000000521236.jpg,31317,Wood,4.59375,5.621970191720732e-21,25513,108,"

",51.0,1,-46.40625,The answer is,,0,1
gemma,okvqa_val_01199,relation_reasoning,wrong_image,ok,,What is the typical habitat for these animals?,wood,COCO_val2014_000000521236.jpg,5168,wood,-2.9375,1.0676391741985791e-22,80532,188517, littoral,46.75,1,-49.6875,littoral zones of coastal,littoral zones of coastal,1,0
gemma,okvqa_val_02359,relation_reasoning,clean,ok,,What kind of birds are these?,seagull,COCO_val2014_000000507766.jpg,126493,seag,27.875,1.4219446453633822e-10,57,236770,1,50.5,1,-22.625,1st and,1st and,1,0
gemma,okvqa_val_02359,relation_reasoning,wrong_image,ok,,What kind of birds are these?,seagull,COCO_val2014_000000507766.jpg,95203, seag,20.25,2.3524795444984647e-09,465,432,�,39.75,1,-19.5,It’,it,1,0
gemma,okvqa_val_02785,relation_reasoning,clean,ok,,What condition are these athletes trying to prevent with their clothing?,hypothermia,COCO_val2014_000000422622.jpg,67901,Hyp,37.75,0.015373092144727707,8,108,"

",40.75,1,-3.0,Hypothermia,hypothermia,1,0
gemma,okvqa_val_02785,relation_reasoning,wrong_image,ok,,What condition are these athletes trying to prevent with their clothing?,hypothermia,COCO_val2014_000000422622.jpg,43791,hyp,26.25,2.7838913396749376e-08,104,108,"

",43.5,1,-17.25,Chilling.,chilling,1,0
gemma,okvqa_val_00310,relation_reasoning,clean,ok,,How do we know that this bathroom is probably in a high rise building?,view,COCO_val2014_000000358883.jpg,5841, View,-2.09375,3.293862279754566e-20,86720,432,�,42.75,1,-44.84375,The answer,the answer,1,0
gemma,okvqa_val_00310,relation_reasoning,wrong_image,ok,,How do we know that this bathroom is probably in a high rise building?,view,COCO_val2014_000000358883.jpg,5841, View,-4.4375,7.133436672827623e-22,108934,432,�,44.25,1,-48.6875,It’,it,1,0
gemma,okvqa_val_00893,relation_reasoning,clean,ok,,How does this train run?,electricity,COCO_val2014_000000028236.jpg,124076,Electricity,22.875,4.905529107923634e-12,440,236770,1,48.5,1,-25.625,100%,100,1,0
gemma,okvqa_val_00893,relation_reasoning,wrong_image,ok,,How does this train run?,electricity,COCO_val2014_000000028236.jpg,124076,Electricity,4.125,3.236179227479093e-19,28682,236800,3,46.5,1,-42.375,3rd rail.,3rd rail,1,0
gemma,okvqa_val_01692,relation_reasoning,clean,ok,,What do these animals eat?,leaf,COCO_val2014_000000229753.jpg,67461,Leaf,17.75,3.8826362410691623e-17,2059,44531, Gir,55.25,1,-37.5,Giraffes primarily eat,giraffes primarily eat,1,0
gemma,okvqa_val_01692,relation_reasoning,wrong_image,ok,,What do these animals eat?,leaf,COCO_val2014_000000229753.jpg,67461,Leaf,8.875,1.5169559130969595e-13,12061,236770,1,37.75,1,-28.875,19th-,19th,1,0
gemma,okvqa_val_01960,relation_reasoning,clean,ok,,What kind of couch is that?,sofa,COCO_val2014_000000546964.jpg,168858, Sofa,4.09375,1.9839612001707109e-16,15218,236770,1,40.25,1,-36.15625,19th-,19th,1,0
gemma,okvqa_val_01960,relation_reasoning,wrong_image,ok,,What kind of couch is that?,sofa,COCO_val2014_000000546964.jpg,168858, Sofa,10.3125,1.2765973716501178e-13,7322,108,"

",39.25,1,-28.9375,The image doesn,the image doesn,1,0
gemma,okvqa_val_03127,comparison_reasoning,clean,ok,,Which animal shown is closely associated with roof nests and holland?,pelican,COCO_val2014_000000223554.jpg,226233, Pelican,52.75,0.18231144547462463,2,209428, Pelicans,54.25,1,-1.5,Pelicans.,pelicans,1,0
gemma,okvqa_val_03127,comparison_reasoning,wrong_image,ok,,Which animal shown is closely associated with roof nests and holland?,pelican,COCO_val2014_000000223554.jpg,226233, Pelican,28.5,6.954401214898098e-07,208,108,"

",42.0,1,-13.5,The answer is,,0,1
gemma,okvqa_val_01256,comparison_reasoning,clean,ok,,Which fashion conscious sisters are famous for playing this game?,williams,COCO_val2014_000000562581.jpg,13643, Williams,13.1875,1.1623979773514592e-12,1613,432,�,40.25,1,-27.0625,Venus and,venus and,1,0
gemma,okvqa_val_01256,comparison_reasoning,wrong_image,ok,,Which fashion conscious sisters are famous for playing this game?,williams,COCO_val2014_000000562581.jpg,13643, Williams,5.0,5.234667911493352e-22,22777,432,�,54.0,1,-49.0,The answer,the answer,1,0
gemma,okvqa_val_00528,comparison_reasoning,clean,ok,,The stuffed animal in this picture is named for which president?,teddy roosevelt,COCO_val2014_000000081361.jpg,60349, teddy,33.25,0.09356418251991272,3,236770,1,35.0,1,-1.75,100-,100,1,0
gemma,okvqa_val_00528,comparison_reasoning,wrong_image,ok,,The stuffed animal in this picture is named for which president?,teddy roosevelt,COCO_val2014_000000081361.jpg,60349, teddy,38.75,0.6666542291641235,1,236770,1,37.25,2,1.5,teddy.,teddy,1,0
gemma,okvqa_val_01672,comparison_reasoning,clean,ok,,What is the most common kind of cheese used in this dish?,mozzarella,COCO_val2014_000000007787.jpg,38987, Moz,40.5,1.9396984498598613e-06,10,108,"

",52.75,1,-12.25,Mozzarella,mozzarella,1,0
