model_family,sample_id,sample_type,question_text,answer_text,clean_predicted_answer,wrong_predicted_answer,clean_target_rank,wrong_target_rank,rank_delta_wrong_minus_clean,clean_target_logit,wrong_target_logit,target_logit_drop_clean_minus_wrong,clean_margin,wrong_margin,margin_drop_clean_minus_wrong,decoded_changed,clean_exact_answer,wrong_exact_answer,format_ok_both,strong_case_score
gemma,okvqa_val_258605,comparison_reasoning,What is this room mostly used for?,cook,the room,1,571.0,139662.0,139091.0,20.625,-7.96875,28.59375,-26.875,-55.96875,29.09375,1,0,0,1,6990.14375
gemma,okvqa_val_4131725,text_object_binding,What does the white sign with the arrow mean?,no left turn,90degree,do,504.0,126165.0,125661.0,17.875,-6.09375,23.96875,-28.875,-48.59375,19.71875,1,0,0,1,6314.01875
gemma,okvqa_val_2847255,text_object_binding,What country might this be based on the writing on the bus?,china,china,ireland,5.0,91809.0,91804.0,42.25,-3.046875,45.296875,-6.25,-62.796875,56.546875,1,1,0,1,4642.496875
gemma,okvqa_val_00497,local_context_inference,Who invented this kind of suit?,surfer,1950,1930,2217.0,87116.0,84899.0,15.75,-1.7890625,17.5390625,-28.75,-51.7890625,23.0390625,1,0,0,1,4269.4890625
gemma,okvqa_val_03909,comparison_reasoning,Which type of helmet is used by the sport person shown in this picture?,bat helmet,a baseball helmet,34 helmet,8862.0,68683.0,59821.0,8.8125,-3.296875,12.109375,-40.6875,-54.546875,13.859375,1,0,0,1,3010.159375
gemma,okvqa_val_00893,relation_reasoning,How does this train run?,electricity,100,3rd rail,440.0,28682.0,28242.0,22.875,4.125,18.75,-25.625,-42.375,16.75,1,0,0,1,1437.8500000000001
gemma,okvqa_val_02108,relation_reasoning,Who invented the transportation device in this picture?,richard trevithick,19th,4legged livestock,8505.0,35405.0,26900.0,13.125,4.40625,8.71875,-30.625,-42.34375,11.71875,1,0,0,1,1360.71875
gemma,okvqa_val_00310,relation_reasoning,How do we know that this bathroom is probably in a high rise building?,view,the answer,it,86720.0,108934.0,22214.0,-2.09375,-4.4375,2.34375,-44.84375,-48.6875,3.84375,1,0,0,1,1120.04375
qwen,okvqa_val_1295955,text_object_binding,Why would this person be holding this sign?,protest,to protest the quality,0,11.0,20510.0,20499.0,11.25,3.453125,7.796875,-3.5625,-15.171875,11.609375,1,0,0,1,1039.746875
qwen,okvqa_val_258605,comparison_reasoning,What is this room mostly used for?,cook,cooking,traffic,5.0,4346.0,4341.0,14.625,3.375,11.25,-4.25,-12.5625,8.3125,1,0,0,1,235.3
qwen,okvqa_val_01692,relation_reasoning,What do these animals eat?,leaf,leaves,0,3.0,4003.0,4000.0,12.25,4.5625,7.6875,-6.75,-12.8125,6.0625,1,0,0,1,214.6875
qwen,okvqa_val_00893,relation_reasoning,How does this train run?,electricity,7212,4 legs,5.0,3081.0,3076.0,15.375,2.765625,12.609375,-1.0,-13.984375,12.984375,1,0,0,1,173.409375
qwen,okvqa_val_01162,local_context_inference,Who is famous for this?,tony hawk,2018,1920,1.0,2395.0,2394.0,9.8125,2.03125,7.78125,0.0,-10.71875,10.71875,1,0,0,1,134.48125
qwen,okvqa_val_00310,relation_reasoning,How do we know that this bathroom is probably in a high rise building?,view,the large window and,0,18.0,2322.0,2304.0,12.75,5.125,7.625,-4.875,-12.875,8.0,1,0,0,1,129.825
qwen,okvqa_val_03127,comparison_reasoning,Which animal shown is closely associated with roof nests and holland?,pelican,pelican,0,1.0,1442.0,1441.0,15.1875,3.84375,11.34375,1.1875,-9.15625,10.34375,1,1,0,1,90.39375
qwen,okvqa_val_00497,local_context_inference,Who invented this kind of suit?,surfer,neil patrick,1903,8652.0,10240.0,1588.0,1.9296875,1.7578125,0.171875,-9.3828125,-12.0546875,2.671875,1,0,0,1,86.571875
