answer_flip_mask_A,answer_flip_mask_A_union_B,answer_flip_mask_B,answer_flip_random_A_size,answer_flip_random_B_size,answer_flip_random_union_size,answer_flip_wrong_image,answer_text,blocked,blocked_reason,clean_predicted_answer,composition_effect_margin,composition_effect_rank,damage_logit_mask_A,damage_logit_mask_A_union_B,damage_logit_mask_B,damage_logit_random_A_size,damage_logit_random_B_size,damage_logit_random_union_size,damage_logit_wrong_image,damage_margin_mask_A,damage_margin_mask_A_union_B,damage_margin_mask_B,damage_margin_random_A_size,damage_margin_random_B_size,damage_margin_random_union_size,damage_margin_wrong_image,damage_rank_mask_A,damage_rank_mask_A_union_B,damage_rank_mask_B,damage_rank_random_A_size,damage_rank_random_B_size,damage_rank_random_union_size,damage_rank_wrong_image,model_family,predicted_answer_mask_A,predicted_answer_mask_A_union_B,predicted_answer_mask_B,predicted_answer_random_A_size,predicted_answer_random_B_size,predicted_answer_random_union_size,predicted_answer_wrong_image,question_text,sample_id,sample_type,stage1_label
0,0,0,0,0,0,1,view,False,,the answer,-9.625,-36487.0,7.71875,3.84375,0.640625,2.1875,1.0625,-0.03125,2.34375,11.46875,1.84375,0.390625,6.9375,1.8125,-1.53125,3.84375,91892.0,55405.0,8008.0,23144.0,14134.0,1954.0,22214.0,gemma,the answer,the answer,the answer,the answer,the answer,the answer,it,How do we know that this bathroom is probably in a high rise building?,okvqa_val_00310,relation_reasoning,one_region_dominated
1,1,0,1,1,1,1,electricity,False,,100,-2.25,-6952.0,18.4375,16.4375,0.0,13.3125,2.5,20.40625,18.75,21.6875,19.4375,-1.75,19.0625,0.0,19.90625,16.75,24817.0,17865.0,-84.0,7928.0,212.0,44500.0,28242.0,gemma,12 tracks converge,12 trains run,100,11 tracks run,125 series,1234,3rd rail,How does this train run?,okvqa_val_00893,relation_reasoning,one_region_dominated
1,1,0,1,0,0,1,richard trevithick,False,,19th,-2.5,-3584.0,-3.375,-4.875,-1.4375,-6.5,1.875,0.375,8.71875,1.875,-0.625,-2.1875,0.25,3.375,-3.125,11.71875,-5725.0,-7019.0,-3435.0,-6498.0,3273.0,-3189.0,26900.0,gemma,1886,1886,19th,henry ford invented,19th,19th,4legged livestock,Who invented the transportation device in this picture?,okvqa_val_02108,relation_reasoning,one_region_dominated
0,1,1,0,0,0,1,protest,False,,he is,3.375,2437.0,3.8125,5.4375,-2.4375,5.3125,1.8125,0.375,5.6875,1.8125,5.1875,-1.4375,3.8125,-0.4375,-3.375,3.9375,5224.0,7661.0,-1064.0,3944.0,784.0,-115.0,9168.0,gemma,he is,they are,they are,he is,he is,he is,they are,Why would this person be holding this sign?,okvqa_val_1295955,text_object_binding,multi_evidence_supported
1,1,0,1,1,0,1,cook,False,,the room,-4.0,-286.0,2.75,3.25,-0.75,4.6875,3.875,2.375,28.59375,4.25,0.25,-1.5,6.4375,2.875,0.875,29.09375,647.0,361.0,-120.0,1344.0,853.0,439.0,139091.0,gemma,cooking and,cooking and,the room,cooking and,a kitchen,the room,1,What is this room mostly used for?,okvqa_val_258605,comparison_reasoning,one_region_dominated
1,1,1,1,0,1,1,view,False,,the large window and,1.8125,147.0,2.8125,4.125,1.0,2.0,0.375,0.4375,7.625,0.4375,2.25,-0.8125,-0.25,0.5,-0.9375,8.0,22.0,169.0,-6.0,6.0,8.0,-3.0,2304.0,qwen,theres no clear,theres a window,the view from the,the window view suggests,the large window and,the view of the,0,How do we know that this bathroom is probably in a high rise building?,okvqa_val_00310,relation_reasoning,multi_evidence_supported
1,1,0,1,0,1,1,electricity,False,,7212,1.25,41.0,6.9375,7.3125,0.625,6.8125,1.4375,2.0,12.609375,5.1875,6.4375,0.375,6.0,0.375,1.1875,12.984375,80.0,121.0,1.0,112.0,3.0,4.0,3076.0,qwen,2023,2 tracks,7212,2,7212,2023,4 legs,How does this train run?,okvqa_val_00893,relation_reasoning,multi_evidence_supported
1,1,0,0,0,0,1,richard trevithick,False,,george stephenson,-1.125,-4.0,-1.0,-1.6875,-0.625,-1.1875,-0.4375,-1.125,0.46875,-0.75,-1.1875,-0.0625,-0.4375,0.125,-0.125,0.53125,3.0,-1.0,-3.0,-4.0,-3.0,-4.0,57.0,qwen,thomas edison,thomas edison,george stephenson,george stephenson,george stephenson,george stephenson,1804,Who invented the transportation device in this picture?,okvqa_val_02108,relation_reasoning,one_region_dominated
1,1,0,0,1,1,1,protest,False,,to protest the quality,-0.375,17.0,0.8125,1.9375,0.4375,0.25,0.4375,0.1875,7.796875,-1.375,0.25,0.625,0.125,1.0,0.375,11.609375,4.0,21.0,1.0,-2.0,6.0,2.0,20499.0,qwen,protesting,promoting,to protest the quality,to protest the quality,to protest against the,protesting against the product,0,Why would this person be holding this sign?,okvqa_val_1295955,text_object_binding,one_region_dominated
0,0,0,0,0,0,1,cook,False,,cooking,2.0625,41.0,0.3125,4.375,0.3125,0.0625,0.0,1.4375,11.25,0.0625,2.125,-0.5625,-0.3125,0.0,1.4375,8.3125,-2.0,40.0,-1.0,-2.0,-1.0,2.0,4341.0,qwen,cooking,cooking,cooking,cooking,cooking,cooking,traffic,What is this room mostly used for?,okvqa_val_258605,comparison_reasoning,multi_evidence_supported
