model,sample_id,layer,mask_condition,position_group,target_effect,wrong_effect,target_minus_wrong_effect,rank_effect,clean_target_rank,mask_target_rank,position_count
gemma,okvqa_val_00893,1,answer_mask,visual_span,14.9375,-5.25,20.1875,17820.0,440.0,18305.0,256.0
gemma,okvqa_val_00893,1,answer_mask,answer_adjacent,0.0625,-0.5,0.5625,318.0,440.0,18305.0,4.0
gemma,okvqa_val_00893,1,answer_mask,top_hidden_delta,-2.875,-5.5,2.625,-12135.0,440.0,18305.0,32.0
gemma,okvqa_val_00893,1,answer_mask,visual+answer,14.9375,-5.25,20.1875,17854.0,440.0,18305.0,260.0
gemma,okvqa_val_00893,1,union_mask,visual_span,14.9375,-5.25,20.1875,17820.0,440.0,18305.0,256.0
gemma,okvqa_val_00893,1,union_mask,answer_adjacent,0.0625,-0.5,0.5625,318.0,440.0,18305.0,4.0
gemma,okvqa_val_00893,1,union_mask,top_hidden_delta,-2.875,-5.5,2.625,-12135.0,440.0,18305.0,32.0
gemma,okvqa_val_00893,1,union_mask,visual+answer,14.9375,-5.25,20.1875,17854.0,440.0,18305.0,260.0
gemma,okvqa_val_00893,1,shifted_mask,visual_span,21.782470703125,-3.25,25.032470703125,53314.0,440.0,53790.0,256.0
gemma,okvqa_val_00893,1,shifted_mask,answer_adjacent,0.141357421875,-1.0,1.141357421875,913.0,440.0,53790.0,4.0
gemma,okvqa_val_00893,1,shifted_mask,top_hidden_delta,2.188720703125,-14.5,16.688720703125,21777.0,440.0,53790.0,32.0
gemma,okvqa_val_00893,1,shifted_mask,visual+answer,22.032470703125,-3.0,25.032470703125,53336.0,440.0,53790.0,260.0
gemma,okvqa_val_00893,1,shuffled_mask,visual_span,16.78125,-4.5,21.28125,24908.0,440.0,25302.0,256.0
gemma,okvqa_val_00893,1,shuffled_mask,answer_adjacent,-0.125,-0.5,0.375,-194.0,440.0,25302.0,4.0
gemma,okvqa_val_00893,1,shuffled_mask,top_hidden_delta,-4.0625,-14.25,10.1875,-18492.0,440.0,25302.0,32.0
gemma,okvqa_val_00893,1,shuffled_mask,visual+answer,17.28125,-4.5,21.78125,24961.0,440.0,25302.0,260.0
gemma,okvqa_val_02108,1,answer_mask,visual_span,-0.8125,-4.0,3.1875,-3313.0,8505.0,2982.0,256.0
gemma,okvqa_val_02108,1,answer_mask,answer_adjacent,-0.5625,-0.5,-0.0625,-378.0,8505.0,2982.0,4.0
gemma,okvqa_val_02108,1,answer_mask,top_hidden_delta,-3.375,-7.0,3.625,-6782.0,8505.0,2982.0,32.0
gemma,okvqa_val_02108,1,answer_mask,visual+answer,-0.6875,-3.75,3.0625,-3385.0,8505.0,2982.0,260.0
gemma,okvqa_val_02108,1,union_mask,visual_span,-0.8125,-4.0,3.1875,-3313.0,8505.0,2982.0,256.0
gemma,okvqa_val_02108,1,union_mask,answer_adjacent,-0.5625,-0.5,-0.0625,-378.0,8505.0,2982.0,4.0
gemma,okvqa_val_02108,1,union_mask,top_hidden_delta,-3.375,-7.0,3.625,-6782.0,8505.0,2982.0,32.0
gemma,okvqa_val_02108,1,union_mask,visual+answer,-0.6875,-3.75,3.0625,-3385.0,8505.0,2982.0,260.0
gemma,okvqa_val_02108,1,shifted_mask,visual_span,-6.0,-3.25,-2.75,-6984.0,8505.0,2403.0,256.0
gemma,okvqa_val_02108,1,shifted_mask,answer_adjacent,-0.125,0.25,-0.375,-169.0,8505.0,2403.0,4.0
gemma,okvqa_val_02108,1,shifted_mask,top_hidden_delta,-4.8125,-4.75,-0.0625,-2856.0,8505.0,2403.0,32.0
gemma,okvqa_val_02108,1,shifted_mask,visual+answer,-5.875,-3.0,-2.875,-6457.0,8505.0,2403.0,260.0
gemma,okvqa_val_02108,1,shuffled_mask,visual_span,1.875,-2.75,4.625,6340.0,8505.0,14102.0,256.0
gemma,okvqa_val_02108,1,shuffled_mask,answer_adjacent,-0.125,0.25,-0.375,-280.0,8505.0,14102.0,4.0
gemma,okvqa_val_02108,1,shuffled_mask,top_hidden_delta,-1.1875,-4.75,3.5625,-851.0,8505.0,14102.0,32.0
