model_family,sample_id,sample_type,question_text,answer_text,clean_predicted_answer,wrong_predicted_answer,clean_target_rank,wrong_target_rank,rank_delta_wrong_minus_clean,clean_target_logit,wrong_target_logit,target_logit_drop_clean_minus_wrong,clean_margin,wrong_margin,margin_drop_clean_minus_wrong,decoded_changed,clean_exact_answer,wrong_exact_answer,format_ok_both,strong_case_score
gemma,okvqa_val_00310,relation_reasoning,How do we know that this bathroom is probably in a high rise building?,view,the answer,it,86720.0,108934.0,22214.0,-2.09375,-4.4375,2.34375,-44.84375,-48.6875,3.84375,1,0,0,1,1120.04375
gemma,okvqa_val_00492,local_context_inference,What type of boat is this?,sail,20foot,surfboard,30.0,1823.0,1793.0,19.125,16.125,3.0,-23.875,-41.625,17.75,1,0,0,1,99.65
gemma,okvqa_val_00497,local_context_inference,Who invented this kind of suit?,surfer,1950,1930,2217.0,87116.0,84899.0,15.75,-1.7890625,17.5390625,-28.75,-51.7890625,23.0390625,1,0,0,1,4269.4890625
gemma,okvqa_val_00506,local_context_inference,Named after theodore roosevelt?,teddy bear,1901,1901,35.0,33.0,-2.0,25.625,27.25,-1.625,-10.875,-16.5,5.625,0,0,0,1,3.0
gemma,okvqa_val_00528,comparison_reasoning,The stuffed animal in this picture is named for which president?,teddy roosevelt,100,teddy,3.0,1.0,-2.0,33.25,38.75,-5.5,-1.75,1.5,-3.25,1,0,0,1,7.0
gemma,okvqa_val_00756,local_context_inference,What war is this airplane associated with?,world war 2,2nd world war,2nd world war,18.0,22.0,4.0,37.0,28.5,8.5,-28.0,-20.25,-7.75,0,0,0,1,11.7
gemma,okvqa_val_00893,relation_reasoning,How does this train run?,electricity,100,3rd rail,440.0,28682.0,28242.0,22.875,4.125,18.75,-25.625,-42.375,16.75,1,0,0,1,1437.8500000000001
gemma,okvqa_val_00912,local_context_inference,How do we know there may be a railroad nearby?,sign,the presence,the presence,2725.0,320.0,-2405.0,13.6875,20.625,-6.9375,-39.5625,-27.125,-12.4375,0,0,0,1,3.0
gemma,okvqa_val_01162,local_context_inference,Who is famous for this?,tony hawk,tony hawk,19th,1.0,3468.0,3467.0,41.75,15.375,26.375,3.5,-32.875,36.375,1,1,0,1,206.72500000000002
gemma,okvqa_val_01199,relation_reasoning,What is the typical habitat for these animals?,wood,,littoral zones of coastal,25513.0,80532.0,55019.0,4.59375,-2.9375,7.53125,-46.40625,-49.6875,3.28125,1,0,0,0,2762.4812500000003
gemma,okvqa_val_01236,relation_reasoning,How many stomachs does this animal have?,3,4,0,5.0,7.0,2.0,47.25,24.5,22.75,-16.5,-20.0,3.5,1,0,0,1,29.85
gemma,okvqa_val_01256,comparison_reasoning,Which fashion conscious sisters are famous for playing this game?,williams,venus and,the answer,1613.0,22777.0,21164.0,13.1875,5.0,8.1875,-27.0625,-49.0,21.9375,1,0,0,1,1073.3875
gemma,okvqa_val_01672,comparison_reasoning,What is the most common kind of cheese used in this dish?,mozzarella,mozzarella,cheddar,10.0,19.0,9.0,40.5,39.0,1.5,-12.25,-10.5,-1.75,1,1,0,1,8.95
gemma,okvqa_val_01692,relation_reasoning,What do these animals eat?,leaf,giraffes primarily eat,19th,2059.0,12061.0,10002.0,17.75,8.875,8.875,-37.5,-28.875,-8.625,1,0,0,1,515.975
gemma,okvqa_val_01804,comparison_reasoning,Which threatened insect is famously the same color as this train?,bee,350,1957,111.0,107.0,-4.0,28.75,28.75,0.0,-14.5,-16.5,2.0,1,0,0,1,7.0
gemma,okvqa_val_01938,local_context_inference,Name the bike model shown in this picture?,bmw,2013,3aw,80.0,1819.0,1739.0,25.875,17.5,8.375,-42.625,-30.0,-12.625,1,0,0,1,102.325
gemma,okvqa_val_01960,relation_reasoning,What kind of couch is that?,sofa,19th,the image doesn,15218.0,7322.0,-7896.0,4.09375,10.3125,-6.21875,-36.15625,-28.9375,-7.21875,1,0,0,1,7.0
