candidate_id,candidate_source,include_main,include_pool,include_sensitivity_rank10,candidate_rank_within_prompt_run,analysis_group,sample_id,run,prompt_name,source_zeroing_mode,source_node_id,layer,source_pos,source_feature_id,position_group,best_real_condition,path_mass_best,target_token_id,target_token,wrong_token_id,wrong_token,original_target_logit,original_target_rank,original_top1_token,clean_target_logit,clean_target_rank,clean_top1_token,clean_activation,answer_mask_drop,union_mask_drop,shifted_mask_drop,shuffled_mask_drop,real_drop_best,control_drop_max,evidence_specificity,target_contribution,wrong_target_contribution,correct_minus_wrong_contribution,evidence_first_score,damage_score,visual_position_count,answer_adjacent_position_count,known_damaging_feature_ids_for_prompt_run,image_filename,local_image_path,question_text,answer_text,reasoning_operation,image_dependence_tier,paperpack_source,mask_dir,answer_mask_path,union_mask_path,shifted_mask_path,shuffled_mask_path
qwen_evidence_first_0001,evidence_first_discovery,1,1,1,1,non_numeric,okvqa_val_00893,evidence_first,B_direct,subtract,F:L17:P68:ID7806,17,68,7806,visual_answer,answer_mask,1.6166749814396588,63365,electric,22,7,15.375,5,7,15.375,5,7,34.25,5.0,5.0,-14.75,-14.25,5.0,-14.25,19.25,0.023574436083436012,-0.008350053802132607,0.023574436083436012,1.6166749814396588,1.6166749814396588,347,4,,COCO_val2014_000000028236.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\images\COCO_val2014_000000028236.jpg,How does this train run?,electricity,relation_reasoning,low,paper2_stage3_multi_evidence_mechanism,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236/answer.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236/union.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236/shifted.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236/shuffled.png
qwen_evidence_first_0002,evidence_first_discovery,1,1,1,2,non_numeric,okvqa_val_00893,evidence_first,B_direct,subtract,F:L17:P92:ID4602,17,92,4602,visual_answer,answer_mask,1.2285953204648787,63365,electric,22,7,15.375,5,7,15.375,5,7,46.5,23.25,23.25,0.0,-3.0,23.25,0.0,23.25,0.013687259517610073,-0.007340557873249054,0.013687259517610073,1.2285953204648787,1.2285953204648787,347,4,,COCO_val2014_000000028236.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\images\COCO_val2014_000000028236.jpg,How does this train run?,electricity,relation_reasoning,low,paper2_stage3_multi_evidence_mechanism,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236/answer.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236/union.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236/shifted.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236/shuffled.png
qwen_evidence_first_0003,evidence_first_discovery,1,1,1,3,non_numeric,okvqa_val_00893,evidence_first,B_direct,subtract,F:L17:P68:ID4602,17,68,4602,visual_answer,answer_mask,1.011280892254592,63365,electric,22,7,15.375,5,7,15.375,5,7,35.75,3.5,3.5,-21.0,-17.0,3.5,-17.0,20.5,0.013687259517610073,-0.007340557873249054,0.013687259517610073,1.011280892254592,1.011280892254592,347,4,,COCO_val2014_000000028236.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\images\COCO_val2014_000000028236.jpg,How does this train run?,electricity,relation_reasoning,low,paper2_stage3_multi_evidence_mechanism,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236/answer.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236/union.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236/shifted.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236/shuffled.png
qwen_evidence_first_0004,evidence_first_discovery,1,1,1,4,non_numeric,okvqa_val_00893,evidence_first,B_direct,subtract,F:L17:P49:ID7806,17,49,7806,visual_answer,answer_mask,0.931305816439217,63365,electric,22,7,15.375,5,7,15.375,5,7,56.5,24.75,24.75,15.0,7.75,24.75,15.0,9.75,0.023574436083436012,-0.008350053802132607,0.023574436083436012,0.931305816439217,0.931305816439217,347,4,,COCO_val2014_000000028236.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\images\COCO_val2014_000000028236.jpg,How does this train run?,electricity,relation_reasoning,low,paper2_stage3_multi_evidence_mechanism,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236/answer.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236/union.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236/shifted.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236/shuffled.png
qwen_evidence_first_0005,evidence_first_discovery,0,1,1,5,non_numeric,okvqa_val_00893,evidence_first,B_direct,subtract,F:L17:P36:ID2581,17,36,2581,visual_answer,answer_mask,0.8810650681418688,63365,electric,22,7,15.375,5,7,15.375,5,7,46.0,26.0,26.0,12.25,12.5,26.0,12.5,13.5,0.01852838508784771,0.0015773260965943336,0.016951058991253376,0.8810650681418688,0.8810650681418688,347,4,,COCO_val2014_000000028236.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\images\COCO_val2014_000000028236.jpg,How does this train run?,electricity,relation_reasoning,low,paper2_stage3_multi_evidence_mechanism,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236/answer.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236/union.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236/shifted.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236/shuffled.png
qwen_evidence_first_0006,evidence_first_discovery,0,1,1,6,non_numeric,okvqa_val_00893,evidence_first,B_direct,subtract,F:L17:P56:ID7806,17,56,7806,visual_answer,answer_mask,0.8750029002898427,63365,electric,22,7,15.375,5,7,15.375,5,7,48.75,16.25,16.25,6.75,2.0,16.25,6.75,9.5,0.023574436083436012,-0.008350053802132607,0.023574436083436012,0.8750029002898427,0.8750029002898427,347,4,,COCO_val2014_000000028236.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\images\COCO_val2014_000000028236.jpg,How does this train run?,electricity,relation_reasoning,low,paper2_stage3_multi_evidence_mechanism,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236/answer.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236/union.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236/shifted.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236/shuffled.png
qwen_evidence_first_0007,evidence_first_discovery,0,1,1,7,non_numeric,okvqa_val_00893,evidence_first,B_direct,subtract,F:L17:P342:ID4602,17,342,4602,visual_answer,answer_mask,0.8723885257691975,63365,electric,22,7,15.375,5,7,15.375,5,7,33.5,2.25,2.25,-15.75,-17.25,2.25,-15.75,18.0,0.013687259517610073,-0.007340557873249054,0.013687259517610073,0.8723885257691975,0.8723885257691975,347,4,,COCO_val2014_000000028236.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\images\COCO_val2014_000000028236.jpg,How does this train run?,electricity,relation_reasoning,low,paper2_stage3_multi_evidence_mechanism,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236/answer.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236/union.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236/shifted.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236/shuffled.png
qwen_evidence_first_0008,evidence_first_discovery,0,1,1,8,non_numeric,okvqa_val_00893,evidence_first,B_direct,subtract,F:L17:P36:ID7806,17,36,7806,visual_answer,answer_mask,0.8703845036183491,63365,electric,22,7,15.375,5,7,15.375,5,7,67.0,26.0,26.0,17.25,9.25,26.0,17.25,8.75,0.023574436083436012,-0.008350053802132607,0.023574436083436012,0.8703845036183491,0.8703845036183491,347,4,,COCO_val2014_000000028236.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\images\COCO_val2014_000000028236.jpg,How does this train run?,electricity,relation_reasoning,low,paper2_stage3_multi_evidence_mechanism,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236/answer.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236/union.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236/shifted.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000028236/shuffled.png
qwen_evidence_first_0009,evidence_first_discovery,1,1,1,1,non_numeric,okvqa_val_258605,evidence_first,B_direct,subtract,F:L17:P89:ID4602,17,89,4602,visual_answer,answer_mask,0.8615569320316242,4296, cook,17233, cooking,14.625,5, cooking,14.625,5, cooking,38.5,3.75,3.75,-31.5,-26.0,3.75,-26.0,29.75,0.011166109703481197,0.003288653679192066,0.007877456024289131,0.8615569320316242,0.8615569320316242,393,4,,COCO_val2014_000000025860.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\images\COCO_val2014_000000025860.jpg,What is this room mostly used for?,cook,comparison_reasoning,,paper2_stage3_multi_evidence_mechanism,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000025860,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000025860/answer.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000025860/union.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000025860/shifted.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000025860/shuffled.png
qwen_evidence_first_0010,evidence_first_discovery,1,1,1,2,non_numeric,okvqa_val_258605,evidence_first,B_direct,subtract,F:L17:P112:ID4602,17,112,4602,visual_answer,answer_mask,0.6765783302389856,4296, cook,17233, cooking,14.625,5, cooking,14.625,5, cooking,65.0,30.75,30.75,10.25,-11.0,30.75,10.25,20.5,0.011166109703481197,0.003288653679192066,0.007877456024289131,0.6765783302389856,0.6765783302389856,393,4,,COCO_val2014_000000025860.jpg,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\images\COCO_val2014_000000025860.jpg,What is this room mostly used for?,cook,comparison_reasoning,,paper2_stage3_multi_evidence_mechanism,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000025860,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000025860/answer.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000025860/union.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000025860/shifted.png,E:\Bridging\paper2_compositional_evidence_routing\annotation\stage3_mechanism_assets_v1\exported_masks\COCO_val2014_000000025860/shuffled.png
