model_family,sample_id,sample_type,condition,status,blocked_reason,question_text,answer_text,image_filename,target_token_id,target_token,target_logit,target_prob,target_rank,wrong_token_id,wrong_token,wrong_logit,wrong_rank,target_minus_wrong_margin,generated_text,predicted_answer,format_ok,empty_answer
qwen,okvqa_val_02108,relation_reasoning,clean,ok,,Who invented the transportation device in this picture?,richard trevithick,COCO_val2014_000000160394.jpg,11867, Richard,8.1875,0.011170177720487118,9,9857, George,11.4375,1,-3.25,George Stephenson.,george stephenson,1,0
qwen,okvqa_val_02108,relation_reasoning,wrong_image,ok,,Who invented the transportation device in this picture?,richard trevithick,COCO_val2014_000000160394.jpg,11867, Richard,7.71875,0.001920243608765304,66,16,1,11.5,1,-3.78125,1804,1804,1,0
qwen,okvqa_val_01236,relation_reasoning,clean,ok,,How many stomachs does this animal have?,3,COCO_val2014_000000573455.jpg,18,3,24.625,0.0029280760791152716,4,19,4,30.375,1,-5.75,4.,4,1,0
qwen,okvqa_val_01236,relation_reasoning,wrong_image,ok,,How many stomachs does this animal have?,3,COCO_val2014_000000573455.jpg,18,3,24.375,0.002540482208132744,6,15,0,30.25,1,-5.875,0.,0,1,0
qwen,okvqa_val_04292,relation_reasoning,clean,ok,,Are the leaves of the plant that produce this yellow fruit long or short?,long,COCO_val2014_000000152360.jpg,1293, long,21.5,0.10521156340837479,2,2805, short,23.625,1,-2.125,short.,short,1,0
qwen,okvqa_val_04292,relation_reasoning,wrong_image,ok,,Are the leaves of the plant that produce this yellow fruit long or short?,long,COCO_val2014_000000152360.jpg,1293, long,17.125,0.02456708252429962,3,2805, short,20.625,1,-3.5,short.,short,1,0
qwen,okvqa_val_01199,relation_reasoning,clean,ok,,What is the typical habitat for these animals?,wood,COCO_val2014_000000521236.jpg,7579, wood,11.375,0.0021486144978553057,15,35558, forests,17.0,1,-5.625,forests and coastal areas,forests and coastal areas,1,0
qwen,okvqa_val_01199,relation_reasoning,wrong_image,ok,,What is the typical habitat for these animals?,wood,COCO_val2014_000000521236.jpg,7579, wood,6.75,2.2175981939653866e-06,890,34235, coastal,19.25,1,-12.5,coastal areas.,coastal areas,1,0
qwen,okvqa_val_02359,relation_reasoning,clean,ok,,What kind of birds are these?,seagull,COCO_val2014_000000507766.jpg,511, se,18.75,0.9420862197875977,1,342, g,15.375,2,3.375,seagulls.,seagulls,1,0
qwen,okvqa_val_02359,relation_reasoning,wrong_image,ok,,What kind of birds are these?,seagull,COCO_val2014_000000507766.jpg,511, se,10.3125,0.00012910744408145547,61,15,0,19.0,1,-8.6875,0.,0,1,0
qwen,okvqa_val_02785,relation_reasoning,clean,ok,,What condition are these athletes trying to prevent with their clothing?,hypothermia,COCO_val2014_000000422622.jpg,9751, hyp,19.625,0.8835722208023071,1,44734, frost,15.9375,2,3.6875,hypothermia.,hypothermia,1,0
qwen,okvqa_val_02785,relation_reasoning,wrong_image,ok,,What condition are these athletes trying to prevent with their clothing?,hypothermia,COCO_val2014_000000422622.jpg,9751, hyp,11.3125,0.013226809911429882,13,15,0,13.4375,1,-2.125,0.,0,1,0
qwen,okvqa_val_00310,relation_reasoning,clean,ok,,How do we know that this bathroom is probably in a high rise building?,view,COCO_val2014_000000358883.jpg,2738, View,12.75,0.0036288220435380936,18,576, The,17.625,1,-4.875,the large window and,the large window and,1,0
qwen,okvqa_val_00310,relation_reasoning,wrong_image,ok,,How do we know that this bathroom is probably in a high rise building?,view,COCO_val2014_000000358883.jpg,1651, view,5.125,9.124303801399947e-07,2322,15,0,18.0,1,-12.875,0.,0,1,0
qwen,okvqa_val_00893,relation_reasoning,clean,ok,,How does this train run?,electricity,COCO_val2014_000000028236.jpg,63365,electric,15.375,0.0634477511048317,5,22,7,16.375,1,-1.0,7212,7212,1,0
qwen,okvqa_val_00893,relation_reasoning,wrong_image,ok,,How does this train run?,electricity,COCO_val2014_000000028236.jpg,17728, electricity,2.765625,7.357270419561246e-07,3081,19,4,16.75,1,-13.984375,4 legs.,4 legs,1,0
qwen,okvqa_val_01692,relation_reasoning,clean,ok,,What do these animals eat?,leaf,COCO_val2014_000000229753.jpg,15933, leaf,12.25,0.0011571154464036226,3,10901, leaves,19.0,1,-6.75,leaves.,leaves,1,0
qwen,okvqa_val_01692,relation_reasoning,wrong_image,ok,,What do these animals eat?,leaf,COCO_val2014_000000229753.jpg,15933, leaf,4.5625,2.1188573100516805e-06,4003,15,0,17.375,1,-12.8125,0.,0,1,0
qwen,okvqa_val_01960,relation_reasoning,clean,ok,,What kind of couch is that?,sofa,COCO_val2014_000000546964.jpg,31069, sofa,11.1875,0.0020040760282427073,31,16,1,16.0,1,-4.8125,19th century,19th century,1,0
qwen,okvqa_val_01960,relation_reasoning,wrong_image,ok,,What kind of couch is that?,sofa,COCO_val2014_000000546964.jpg,31069, sofa,10.375,2.2141015506349504e-05,44,15,0,21.0,1,-10.625,0.,0,1,0
qwen,okvqa_val_03127,comparison_reasoning,clean,ok,,Which animal shown is closely associated with roof nests and holland?,pelican,COCO_val2014_000000223554.jpg,11814, pel,15.1875,0.3871504068374634,1,511, se,14.0,2,1.1875,pelican.,pelican,1,0
qwen,okvqa_val_03127,comparison_reasoning,wrong_image,ok,,Which animal shown is closely associated with roof nests and holland?,pelican,COCO_val2014_000000223554.jpg,11814, pel,3.84375,1.6557496564928442e-05,1442,15,0,13.0,1,-9.15625,0.,0,1,0
qwen,okvqa_val_01256,comparison_reasoning,clean,ok,,Which fashion conscious sisters are famous for playing this game?,williams,COCO_val2014_000000562581.jpg,13612, Williams,15.5,0.7789477109909058,1,61839,Williams,13.4375,2,2.0625,Williams.,williams,1,0
qwen,okvqa_val_01256,comparison_reasoning,wrong_image,ok,,Which fashion conscious sisters are famous for playing this game?,williams,COCO_val2014_000000562581.jpg,13612, Williams,4.5625,7.757700223010033e-05,448,22,7,12.625,1,-8.0625,7,7,1,0
