model,sample_id,layer,position_group,real_mask_effect_mean,control_mask_effect_mean,real_minus_control
gemma,okvqa_val_00893,1,answer_adjacent,0.0625,0.0081787109375,0.0543212890625
gemma,okvqa_val_00893,1,top_hidden_delta,-2.875,-0.9368896484375,-1.9381103515625
gemma,okvqa_val_00893,1,visual+answer,14.9375,19.6568603515625,-4.7193603515625
gemma,okvqa_val_00893,1,visual_span,14.9375,19.2818603515625,-4.3443603515625
gemma,okvqa_val_02108,1,answer_adjacent,-0.5625,-0.125,-0.4375
gemma,okvqa_val_02108,1,top_hidden_delta,-3.375,-3.0,-0.375
gemma,okvqa_val_02108,1,visual+answer,-0.6875,-1.96875,1.28125
gemma,okvqa_val_02108,1,visual_span,-0.8125,-2.0625,1.25
gemma,okvqa_val_1295955,1,answer_adjacent,0.125,-0.1875,0.3125
gemma,okvqa_val_1295955,1,top_hidden_delta,10.5,1.125,9.375
gemma,okvqa_val_1295955,1,visual+answer,4.875,0.78125,4.09375
gemma,okvqa_val_1295955,1,visual_span,5.125,0.84375,4.28125
gemma,okvqa_val_258605,1,answer_adjacent,-0.5,-0.0625,-0.4375
gemma,okvqa_val_258605,1,top_hidden_delta,1.375,3.40625,-2.03125
gemma,okvqa_val_258605,1,visual+answer,2.375,3.65625,-1.28125
gemma,okvqa_val_258605,1,visual_span,2.25,3.96875,-1.71875
qwen,okvqa_val_00310,13,answer_adjacent,-0.1875,0.59375,-0.78125
qwen,okvqa_val_00310,13,top_hidden_delta,2.1875,0.4375,1.75
qwen,okvqa_val_00310,13,visual+answer,3.75,1.40625,2.34375
qwen,okvqa_val_00310,13,visual_span,3.375,1.78125,1.59375
qwen,okvqa_val_00310,15,answer_adjacent,-0.84375,0.6875,-1.53125
qwen,okvqa_val_00310,15,top_hidden_delta,1.1875,0.34375,0.84375
qwen,okvqa_val_00310,15,visual+answer,3.25,2.1875,1.0625
qwen,okvqa_val_00310,15,visual_span,3.8125,1.78125,2.03125
qwen,okvqa_val_00310,17,answer_adjacent,0.0,0.625,-0.625
qwen,okvqa_val_00310,17,top_hidden_delta,0.125,0.3125,-0.1875
qwen,okvqa_val_00310,17,visual+answer,3.75,1.4375,2.3125
qwen,okvqa_val_00310,17,visual_span,3.5,1.375,2.125
qwen,okvqa_val_00893,13,answer_adjacent,0.5625,0.03125,0.53125
qwen,okvqa_val_00893,13,top_hidden_delta,-1.5625,-1.4375,-0.125
qwen,okvqa_val_00893,13,visual+answer,2.5,0.40625,2.09375
qwen,okvqa_val_00893,13,visual_span,1.6875,0.3125,1.375
qwen,okvqa_val_00893,15,answer_adjacent,0.375,-0.703125,1.078125
qwen,okvqa_val_00893,15,top_hidden_delta,0.75,0.546875,0.203125
qwen,okvqa_val_00893,15,visual+answer,2.0,-0.21875,2.21875
qwen,okvqa_val_00893,15,visual_span,4.6875,2.28125,2.40625
qwen,okvqa_val_00893,17,answer_adjacent,-0.25,-1.34375,1.09375
qwen,okvqa_val_00893,17,top_hidden_delta,0.875,-0.0625,0.9375
qwen,okvqa_val_00893,17,visual+answer,2.4375,0.34375,2.09375
qwen,okvqa_val_00893,17,visual_span,4.0625,1.90625,2.15625
qwen,okvqa_val_02108,13,answer_adjacent,-1.0,-0.53125,-0.46875
qwen,okvqa_val_02108,13,top_hidden_delta,-2.0625,-0.1875,-1.875
qwen,okvqa_val_02108,13,visual+answer,-3.03125,-0.71875,-2.3125
qwen,okvqa_val_02108,13,visual_span,-2.1875,-0.3125,-1.875
qwen,okvqa_val_02108,15,answer_adjacent,-1.125,-0.625,-0.5
qwen,okvqa_val_02108,15,top_hidden_delta,-1.5625,0.03125,-1.59375
qwen,okvqa_val_02108,15,visual+answer,-3.96875,-1.21875,-2.75
qwen,okvqa_val_02108,15,visual_span,-2.65625,-0.625,-2.03125
qwen,okvqa_val_02108,17,answer_adjacent,-0.5,-0.59375,0.09375
qwen,okvqa_val_02108,17,top_hidden_delta,-1.25,0.125,-1.375
qwen,okvqa_val_02108,17,visual+answer,-3.0625,-1.40625,-1.65625
qwen,okvqa_val_02108,17,visual_span,-2.90625,-0.59375,-2.3125
qwen,okvqa_val_1295955,13,answer_adjacent,0.6875,-0.03125,0.71875
qwen,okvqa_val_1295955,13,top_hidden_delta,1.6875,0.125,1.5625
qwen,okvqa_val_1295955,13,visual+answer,2.0625,0.25,1.8125
qwen,okvqa_val_1295955,13,visual_span,2.0,0.71875,1.28125
qwen,okvqa_val_1295955,15,answer_adjacent,0.4375,0.15625,0.28125
qwen,okvqa_val_1295955,15,top_hidden_delta,1.6875,0.0,1.6875
qwen,okvqa_val_1295955,15,visual+answer,2.125,0.875,1.25
qwen,okvqa_val_1295955,15,visual_span,1.875,0.78125,1.09375
qwen,okvqa_val_1295955,17,answer_adjacent,-0.875,-0.03125,-0.84375
qwen,okvqa_val_1295955,17,top_hidden_delta,1.375,0.09375,1.28125
qwen,okvqa_val_1295955,17,visual+answer,1.25,0.1875,1.0625
qwen,okvqa_val_1295955,17,visual_span,2.0625,0.78125,1.28125
qwen,okvqa_val_258605,13,answer_adjacent,0.0,0.625,-0.625
qwen,okvqa_val_258605,13,top_hidden_delta,-0.0625,0.15625,-0.21875
qwen,okvqa_val_258605,13,visual+answer,3.5,2.4375,1.0625
qwen,okvqa_val_258605,13,visual_span,3.3125,1.84375,1.46875
qwen,okvqa_val_258605,15,answer_adjacent,1.0625,0.75,0.3125
qwen,okvqa_val_258605,15,top_hidden_delta,-0.375,0.25,-0.625
qwen,okvqa_val_258605,15,visual+answer,2.625,2.03125,0.59375
qwen,okvqa_val_258605,15,visual_span,2.9375,1.625,1.3125
qwen,okvqa_val_258605,17,answer_adjacent,0.8125,0.53125,0.28125
qwen,okvqa_val_258605,17,top_hidden_delta,-0.125,0.125,-0.25
qwen,okvqa_val_258605,17,visual+answer,2.9375,2.09375,0.84375
qwen,okvqa_val_258605,17,visual_span,1.6875,1.375,0.3125
