model,sample_id,sample_type,stage1_label,layer,mask_condition,position_group,target_effect,target_minus_wrong_effect,rank_effect,composition_effect_margin,composition_effect_rank
gemma,okvqa_val_00893,relation_reasoning,one_region_dominated,1,answer_mask,visual_span,14.9375,20.1875,17820.0,-2.25,-6952.0
gemma,okvqa_val_00893,relation_reasoning,one_region_dominated,1,answer_mask,answer_adjacent,0.0625,0.5625,318.0,-2.25,-6952.0
gemma,okvqa_val_00893,relation_reasoning,one_region_dominated,1,answer_mask,top_hidden_delta,-2.875,2.625,-12135.0,-2.25,-6952.0
gemma,okvqa_val_00893,relation_reasoning,one_region_dominated,1,answer_mask,visual+answer,14.9375,20.1875,17854.0,-2.25,-6952.0
gemma,okvqa_val_00893,relation_reasoning,one_region_dominated,1,union_mask,visual_span,14.9375,20.1875,17820.0,-2.25,-6952.0
gemma,okvqa_val_00893,relation_reasoning,one_region_dominated,1,union_mask,answer_adjacent,0.0625,0.5625,318.0,-2.25,-6952.0
gemma,okvqa_val_00893,relation_reasoning,one_region_dominated,1,union_mask,top_hidden_delta,-2.875,2.625,-12135.0,-2.25,-6952.0
gemma,okvqa_val_00893,relation_reasoning,one_region_dominated,1,union_mask,visual+answer,14.9375,20.1875,17854.0,-2.25,-6952.0
gemma,okvqa_val_00893,relation_reasoning,one_region_dominated,1,shifted_mask,visual_span,21.782470703125,25.032470703125,53314.0,-2.25,-6952.0
gemma,okvqa_val_00893,relation_reasoning,one_region_dominated,1,shifted_mask,answer_adjacent,0.141357421875,1.141357421875,913.0,-2.25,-6952.0
gemma,okvqa_val_00893,relation_reasoning,one_region_dominated,1,shifted_mask,top_hidden_delta,2.188720703125,16.688720703125,21777.0,-2.25,-6952.0
gemma,okvqa_val_00893,relation_reasoning,one_region_dominated,1,shifted_mask,visual+answer,22.032470703125,25.032470703125,53336.0,-2.25,-6952.0
gemma,okvqa_val_00893,relation_reasoning,one_region_dominated,1,shuffled_mask,visual_span,16.78125,21.28125,24908.0,-2.25,-6952.0
gemma,okvqa_val_00893,relation_reasoning,one_region_dominated,1,shuffled_mask,answer_adjacent,-0.125,0.375,-194.0,-2.25,-6952.0
gemma,okvqa_val_00893,relation_reasoning,one_region_dominated,1,shuffled_mask,top_hidden_delta,-4.0625,10.1875,-18492.0,-2.25,-6952.0
gemma,okvqa_val_00893,relation_reasoning,one_region_dominated,1,shuffled_mask,visual+answer,17.28125,21.78125,24961.0,-2.25,-6952.0
gemma,okvqa_val_02108,relation_reasoning,one_region_dominated,1,answer_mask,visual_span,-0.8125,3.1875,-3313.0,-2.5,-3584.0
gemma,okvqa_val_02108,relation_reasoning,one_region_dominated,1,answer_mask,answer_adjacent,-0.5625,-0.0625,-378.0,-2.5,-3584.0
gemma,okvqa_val_02108,relation_reasoning,one_region_dominated,1,answer_mask,top_hidden_delta,-3.375,3.625,-6782.0,-2.5,-3584.0
gemma,okvqa_val_02108,relation_reasoning,one_region_dominated,1,answer_mask,visual+answer,-0.6875,3.0625,-3385.0,-2.5,-3584.0
gemma,okvqa_val_02108,relation_reasoning,one_region_dominated,1,union_mask,visual_span,-0.8125,3.1875,-3313.0,-2.5,-3584.0
gemma,okvqa_val_02108,relation_reasoning,one_region_dominated,1,union_mask,answer_adjacent,-0.5625,-0.0625,-378.0,-2.5,-3584.0
gemma,okvqa_val_02108,relation_reasoning,one_region_dominated,1,union_mask,top_hidden_delta,-3.375,3.625,-6782.0,-2.5,-3584.0
gemma,okvqa_val_02108,relation_reasoning,one_region_dominated,1,union_mask,visual+answer,-0.6875,3.0625,-3385.0,-2.5,-3584.0
gemma,okvqa_val_02108,relation_reasoning,one_region_dominated,1,shifted_mask,visual_span,-6.0,-2.75,-6984.0,-2.5,-3584.0
gemma,okvqa_val_02108,relation_reasoning,one_region_dominated,1,shifted_mask,answer_adjacent,-0.125,-0.375,-169.0,-2.5,-3584.0
gemma,okvqa_val_02108,relation_reasoning,one_region_dominated,1,shifted_mask,top_hidden_delta,-4.8125,-0.0625,-2856.0,-2.5,-3584.0
gemma,okvqa_val_02108,relation_reasoning,one_region_dominated,1,shifted_mask,visual+answer,-5.875,-2.875,-6457.0,-2.5,-3584.0
gemma,okvqa_val_02108,relation_reasoning,one_region_dominated,1,shuffled_mask,visual_span,1.875,4.625,6340.0,-2.5,-3584.0
gemma,okvqa_val_02108,relation_reasoning,one_region_dominated,1,shuffled_mask,answer_adjacent,-0.125,-0.375,-280.0,-2.5,-3584.0
gemma,okvqa_val_02108,relation_reasoning,one_region_dominated,1,shuffled_mask,top_hidden_delta,-1.1875,3.5625,-851.0,-2.5,-3584.0
gemma,okvqa_val_02108,relation_reasoning,one_region_dominated,1,shuffled_mask,visual+answer,1.9375,5.4375,6590.0,-2.5,-3584.0
gemma,okvqa_val_1295955,text_object_binding,multi_evidence_supported,1,answer_mask,visual_span,5.125,4.875,7572.0,3.375,2437.0
gemma,okvqa_val_1295955,text_object_binding,multi_evidence_supported,1,answer_mask,answer_adjacent,0.125,-0.625,24.0,3.375,2437.0
gemma,okvqa_val_1295955,text_object_binding,multi_evidence_supported,1,answer_mask,top_hidden_delta,10.5,12.0,9105.0,3.375,2437.0
gemma,okvqa_val_1295955,text_object_binding,multi_evidence_supported,1,answer_mask,visual+answer,4.875,5.125,7521.0,3.375,2437.0
gemma,okvqa_val_1295955,text_object_binding,multi_evidence_supported,1,union_mask,visual_span,5.125,4.875,7572.0,3.375,2437.0
