answer_flip_mask_A,answer_flip_mask_A_union_B,answer_flip_mask_B,answer_flip_random_A_size,answer_flip_random_B_size,answer_flip_random_union_size,answer_flip_wrong_image,answer_text,blocked,blocked_reason,clean_predicted_answer,composition_effect_margin,composition_effect_rank,damage_logit_mask_A,damage_logit_mask_A_union_B,damage_logit_mask_B,damage_logit_random_A_size,damage_logit_random_B_size,damage_logit_random_union_size,damage_logit_wrong_image,damage_margin_mask_A,damage_margin_mask_A_union_B,damage_margin_mask_B,damage_margin_random_A_size,damage_margin_random_B_size,damage_margin_random_union_size,damage_margin_wrong_image,damage_rank_mask_A,damage_rank_mask_A_union_B,damage_rank_mask_B,damage_rank_random_A_size,damage_rank_random_B_size,damage_rank_random_union_size,damage_rank_wrong_image,model_family,predicted_answer_mask_A,predicted_answer_mask_A_union_B,predicted_answer_mask_B,predicted_answer_random_A_size,predicted_answer_random_B_size,predicted_answer_random_union_size,predicted_answer_wrong_image,question_text,sample_id,sample_type,stage1_label
0,0,0,0,0,0,1,view,False,,the answer,-9.625,-36487.0,7.71875,3.84375,0.640625,2.1875,1.0625,-0.03125,2.34375,11.46875,1.84375,0.390625,6.9375,1.8125,-1.53125,3.84375,91892.0,55405.0,8008.0,23144.0,14134.0,1954.0,22214.0,gemma,the answer,the answer,the answer,the answer,the answer,the answer,it,How do we know that this bathroom is probably in a high rise building?,okvqa_val_00310,relation_reasoning,one_region_dominated
1,1,1,1,0,1,1,sail,False,,20foot,1.8125,-2151.0,6.8125,2.375,-1.0,-10.75,0.5,-1.125,3.0,4.3125,6.125,-0.5,-3.5,-2.0,-1.875,17.75,3665.0,1514.0,1.0,-12.0,-2.0,-6.0,1793.0,gemma,sailboat,sailboat,21foot,25foot,20foot,21foot,surfboard,What type of boat is this?,okvqa_val_00492,local_context_inference,mixed_or_unclear
0,1,1,1,1,1,0,teddy bear,False,,1901,-6.875,-287.0,6.125,-1.0,3.0,1.5,4.25,7.875,-1.625,5.125,-1.75,1.25,0.75,4.0,4.625,5.625,275.0,-12.0,20.0,8.0,109.0,361.0,-2.0,gemma,1901,1909,42,19th,42,45th president,1901,Named after theodore roosevelt?,okvqa_val_00506,local_context_inference,one_region_dominated
0,0,0,0,0,0,0,world war 2,False,,2nd world war,-8.0,-6.0,1.0,1.0,-1.25,6.375,3.0,-2.75,8.5,-6.25,-6.75,1.25,1.625,1.5,-0.75,-7.75,-1.0,-3.0,3.0,11.0,5.0,0.0,4.0,gemma,2nd world war,2nd world war,2nd world war,2nd world war,2nd world war,2nd world war,2nd world war,What war is this airplane associated with?,okvqa_val_00756,local_context_inference,shortcut_prior_suspected
1,1,0,1,1,1,1,electricity,False,,100,-2.25,-6952.0,18.4375,16.4375,0.0,13.3125,2.5,20.40625,18.75,21.6875,19.4375,-1.75,19.0625,0.0,19.90625,16.75,24817.0,17865.0,-84.0,7928.0,212.0,44500.0,28242.0,gemma,12 tracks converge,12 trains run,100,11 tracks run,125 series,1234,3rd rail,How does this train run?,okvqa_val_00893,relation_reasoning,one_region_dominated
1,1,1,1,1,1,1,wood,True,missing_or_invalid_clean,,-13.640625,-34263.0,-13.15625,-13.15625,2.484375,-17.65625,-2.65625,-20.03125,7.53125,-12.90625,-12.90625,0.734375,-15.90625,-7.90625,-20.03125,3.28125,-23683.0,-23683.0,10580.0,-24840.0,-12338.0,-25091.0,55019.0,gemma,coniferous forests and mountainous,coniferous forests and mountainous,littoral zones along rocky,coniferous forests and mountainous,black bears typically,woodlands and forests with,littoral zones of coastal,What is the typical habitat for these animals?,okvqa_val_01199,relation_reasoning,blocked
1,1,0,1,1,0,1,williams,False,,venus and,0.625,-1183.0,-0.375,-0.6875,1.4375,0.0625,-0.8125,-1.0625,8.1875,2.125,4.8125,4.1875,4.5625,-0.8125,-1.0625,21.9375,179.0,448.0,1631.0,880.0,-214.0,-387.0,21164.0,gemma,1990,1990,venus and,1990,1990,venus and,the answer,Which fashion conscious sisters are famous for playing this game?,okvqa_val_01256,comparison_reasoning,mixed_or_unclear
1,0,1,0,0,0,1,mozzarella,False,,mozzarella,-11.25,-11.0,-3.25,-8.75,1.25,-5.25,-9.75,-8.0,1.5,-4.0,-9.5,1.75,-5.75,-11.0,-8.25,-1.75,-6.0,-7.0,4.0,-5.0,-7.0,-6.0,9.0,gemma,feta cheese,mozzarella,feta cheese,mozzarella,mozzarella,mozzarella,cheddar,What is the most common kind of cheese used in this dish?,okvqa_val_01672,comparison_reasoning,shortcut_prior_suspected
1,1,1,1,1,1,1,sofa,False,,19th,-1.28125,-13787.0,1.234375,-1.46875,0.0625,-1.96875,-3.59375,-2.5625,-6.21875,1.234375,0.28125,1.5625,1.53125,0.40625,5.1875,-7.21875,7951.0,-5836.0,1167.0,-5745.0,-5968.0,-5776.0,-7896.0,gemma,18th,18th,18th,1970,18th,18th,the image doesn,What kind of couch is that?,okvqa_val_01960,relation_reasoning,one_region_dominated
1,1,0,1,0,0,1,richard trevithick,False,,19th,-2.5,-3584.0,-3.375,-4.875,-1.4375,-6.5,1.875,0.375,8.71875,1.875,-0.625,-2.1875,0.25,3.375,-3.125,11.71875,-5725.0,-7019.0,-3435.0,-6498.0,3273.0,-3189.0,26900.0,gemma,1886,1886,19th,henry ford invented,19th,19th,4legged livestock,Who invented the transportation device in this picture?,okvqa_val_02108,relation_reasoning,one_region_dominated
1,1,1,1,0,1,1,star war,False,,19 franchises,1.5,-136.0,-4.25,-0.625,3.375,-1.0,-0.5,-1.625,6.25,0.75,5.375,3.875,-1.75,0.0,3.375,10.5,-60.0,-7.0,129.0,-19.0,-3.0,-50.0,109.0,gemma,20th century,2014,12 other major,1984,19 franchises,2000,2000,What other movie franchises has lego made playsets based on?,okvqa_val_04586,local_context_inference,mixed_or_unclear
1,1,1,1,1,1,1,polyester,False,,wood and,0.625,-38.0,-2.125,-2.0,-1.875,-2.0,-2.25,-3.5,-2.625,-2.875,-2.25,-5.125,-6.25,-3.75,-7.0,-2.875,-709.0,-747.0,-772.0,-784.0,-962.0,-1076.0,-826.0,gemma,3d fabric,3d fabric,fabric,fabric,100,likely fabric,3dprinted,Which material is used for making the sofa set shown in this picture?,okvqa_val_1171125,comparison_reasoning,shortcut_prior_suspected
0,1,1,0,0,0,1,protest,False,,he is,3.375,2437.0,3.8125,5.4375,-2.4375,5.3125,1.8125,0.375,5.6875,1.8125,5.1875,-1.4375,3.8125,-0.4375,-3.375,3.9375,5224.0,7661.0,-1064.0,3944.0,784.0,-115.0,9168.0,gemma,he is,they are,they are,he is,he is,he is,they are,Why would this person be holding this sign?,okvqa_val_1295955,text_object_binding,multi_evidence_supported
1,1,0,0,1,1,1,headphone,False,,bheadphonesb,-0.5,25.0,14.625,14.875,0.75,-0.25,0.5,2.25,12.875,16.125,15.625,0.75,1.25,1.0,4.25,15.125,228.0,253.0,2.0,3.0,6.0,11.0,216.0,gemma,btelephoneb,btelephoneb,bheadphonesb,bheadphonesb,headphones,bheadsetb,btelephoneb,Which item shown here is a compound word derived from the name of the human cranium and the telephone?,okvqa_val_1686835,comparison_reasoning,one_region_dominated
1,1,0,1,1,0,1,cook,False,,the room,-4.0,-286.0,2.75,3.25,-0.75,4.6875,3.875,2.375,28.59375,4.25,0.25,-1.5,6.4375,2.875,0.875,29.09375,647.0,361.0,-120.0,1344.0,853.0,439.0,139091.0,gemma,cooking and,cooking and,the room,cooking and,a kitchen,the room,1,What is this room mostly used for?,okvqa_val_258605,comparison_reasoning,one_region_dominated
1,1,1,1,0,1,1,view,False,,the large window and,1.8125,147.0,2.8125,4.125,1.0,2.0,0.375,0.4375,7.625,0.4375,2.25,-0.8125,-0.25,0.5,-0.9375,8.0,22.0,169.0,-6.0,6.0,8.0,-3.0,2304.0,qwen,theres no clear,theres a window,the view from the,the window view suggests,the large window and,the view of the,0,How do we know that this bathroom is probably in a high rise building?,okvqa_val_00310,relation_reasoning,multi_evidence_supported
1,1,0,0,0,1,1,sail,False,,sailboat,-0.875,-1.0,3.5625,3.125,1.0,-0.4375,-0.3125,2.5,5.6875,2.5,1.625,0.875,-0.5625,-0.4375,2.0,10.625,4.0,3.0,0.0,0.0,0.0,2.0,51.0,qwen,0,row,sailboat,sailboat,sailboat,motor,0,What type of boat is this?,okvqa_val_00492,local_context_inference,one_region_dominated
1,1,0,1,0,1,1,teddy bear,False,,ursus,-1.0,0.0,1.8125,2.875,0.0,0.5,0.5,2.5625,4.125,-1.5,-1.0,0.0,-2.625,-0.5,-1.0,1.3125,-1.0,0.0,0.0,-1.0,0.0,0.0,5.0,qwen,teddy bear,0,ursus,teddy bear,ursus,26,26th president,Named after theodore roosevelt?,okvqa_val_00506,local_context_inference,one_region_dominated
1,1,0,1,0,1,1,world war 2,False,,2nd,-0.875,0.0,5.75,5.5,-0.125,1.75,0.125,0.5,8.6875,-0.125,-1.0,-0.5,-1.25,-0.75,-3.375,5.5625,2.0,2.0,0.0,0.0,1.0,-2.0,23.0,qwen,1940,1940,2nd,1940,2nd,world war ii,0,What war is this airplane associated with?,okvqa_val_00756,local_context_inference,one_region_dominated
1,1,0,1,0,1,1,electricity,False,,7212,1.25,41.0,6.9375,7.3125,0.625,6.8125,1.4375,2.0,12.609375,5.1875,6.4375,0.375,6.0,0.375,1.1875,12.984375,80.0,121.0,1.0,112.0,3.0,4.0,3076.0,qwen,2023,2 tracks,7212,2,7212,2023,4 legs,How does this train run?,okvqa_val_00893,relation_reasoning,multi_evidence_supported
1,1,1,1,0,1,1,wood,False,,forests and coastal areas,-0.75,-52.0,-0.375,-0.375,1.5625,-1.3125,0.125,1.125,4.625,-2.9375,-2.9375,-2.1875,-4.125,-0.375,-1.9375,6.875,-3.0,-3.0,49.0,-9.0,1.0,15.0,875.0,qwen,des,des,forests,rainforests,forests and coastal areas,des,coastal areas,What is the typical habitat for these animals?,okvqa_val_01199,relation_reasoning,one_region_dominated
0,0,0,0,0,0,1,williams,False,,williams,-0.3125,0.0,1.4375,1.5,0.3125,1.0625,0.5,0.1875,10.9375,0.4375,0.375,0.6875,0.5,0.0625,0.375,10.125,0.0,0.0,0.0,0.0,0.0,0.0,447.0,qwen,williams,williams,williams,williams,williams,williams,7,Which fashion conscious sisters are famous for playing this game?,okvqa_val_01256,comparison_reasoning,one_region_dominated
0,0,0,0,0,0,1,mozzarella,False,,mozzarella,1.1875,0.0,1.25,0.875,-0.375,-0.125,-0.625,1.75,3.125,2.6875,3.875,0.25,0.625,0.1875,3.125,6.5,0.0,0.0,0.0,0.0,0.0,0.0,9.0,qwen,mozzarella,mozzarella,mozzarella,mozzarella,mozzarella,mozzarella,350,What is the most common kind of cheese used in this dish?,okvqa_val_01672,comparison_reasoning,mixed_or_unclear
