model,sample_id,layer,mask_condition,position_group,target_effect,wrong_effect,target_minus_wrong_effect,rank_effect,clean_target_rank,mask_target_rank,position_count
gemma,okvqa_val_258605,1,answer_mask,visual_span,2.25,1.5,0.75,319.0,571.0,932.0,256.0
gemma,okvqa_val_258605,1,answer_mask,answer_adjacent,-0.5,0.0,-0.5,-190.0,571.0,932.0,4.0
gemma,okvqa_val_258605,1,answer_mask,top_hidden_delta,1.375,2.0,-0.625,28.0,571.0,932.0,32.0
gemma,okvqa_val_258605,1,answer_mask,visual+answer,2.375,1.75,0.625,340.0,571.0,932.0,260.0
gemma,okvqa_val_258605,1,union_mask,visual_span,2.25,1.5,0.75,319.0,571.0,932.0,256.0
gemma,okvqa_val_258605,1,union_mask,answer_adjacent,-0.5,0.0,-0.5,-190.0,571.0,932.0,4.0
gemma,okvqa_val_258605,1,union_mask,top_hidden_delta,1.375,2.0,-0.625,28.0,571.0,932.0,32.0
gemma,okvqa_val_258605,1,union_mask,visual+answer,2.375,1.75,0.625,340.0,571.0,932.0,260.0
gemma,okvqa_val_258605,1,shifted_mask,visual_span,5.6875,-1.75,7.4375,2245.0,571.0,2771.0,256.0
gemma,okvqa_val_258605,1,shifted_mask,answer_adjacent,0.125,-0.25,0.375,107.0,571.0,2771.0,4.0
gemma,okvqa_val_258605,1,shifted_mask,top_hidden_delta,5.6875,0.0,5.6875,2181.0,571.0,2771.0,32.0
gemma,okvqa_val_258605,1,shifted_mask,visual+answer,5.4375,-1.5,6.9375,2198.0,571.0,2771.0,260.0
gemma,okvqa_val_258605,1,shuffled_mask,visual_span,2.25,0.5,1.75,639.0,571.0,1207.0,256.0
gemma,okvqa_val_258605,1,shuffled_mask,answer_adjacent,-0.25,0.25,-0.5,-82.0,571.0,1207.0,4.0
gemma,okvqa_val_258605,1,shuffled_mask,top_hidden_delta,1.125,1.25,-0.125,380.0,571.0,1207.0,32.0
gemma,okvqa_val_258605,1,shuffled_mask,visual+answer,1.875,-0.5,2.375,598.0,571.0,1207.0,260.0
gemma,okvqa_val_00893,1,answer_mask,visual_span,14.9375,-5.25,20.1875,17820.0,440.0,18305.0,256.0
gemma,okvqa_val_00893,1,answer_mask,answer_adjacent,0.0625,-0.5,0.5625,318.0,440.0,18305.0,4.0
gemma,okvqa_val_00893,1,answer_mask,top_hidden_delta,-2.875,-5.5,2.625,-12135.0,440.0,18305.0,32.0
gemma,okvqa_val_00893,1,answer_mask,visual+answer,14.9375,-5.25,20.1875,17854.0,440.0,18305.0,260.0
gemma,okvqa_val_00893,1,union_mask,visual_span,14.9375,-5.25,20.1875,17820.0,440.0,18305.0,256.0
gemma,okvqa_val_00893,1,union_mask,answer_adjacent,0.0625,-0.5,0.5625,318.0,440.0,18305.0,4.0
gemma,okvqa_val_00893,1,union_mask,top_hidden_delta,-2.875,-5.5,2.625,-12135.0,440.0,18305.0,32.0
gemma,okvqa_val_00893,1,union_mask,visual+answer,14.9375,-5.25,20.1875,17854.0,440.0,18305.0,260.0
gemma,okvqa_val_00893,1,shifted_mask,visual_span,21.782470703125,-3.25,25.032470703125,53314.0,440.0,53790.0,256.0
gemma,okvqa_val_00893,1,shifted_mask,answer_adjacent,0.141357421875,-1.0,1.141357421875,913.0,440.0,53790.0,4.0
gemma,okvqa_val_00893,1,shifted_mask,top_hidden_delta,2.188720703125,-14.5,16.688720703125,21777.0,440.0,53790.0,32.0
gemma,okvqa_val_00893,1,shifted_mask,visual+answer,22.032470703125,-3.0,25.032470703125,53336.0,440.0,53790.0,260.0
gemma,okvqa_val_00893,1,shuffled_mask,visual_span,16.78125,-4.5,21.28125,24908.0,440.0,25302.0,256.0
gemma,okvqa_val_00893,1,shuffled_mask,answer_adjacent,-0.125,-0.5,0.375,-194.0,440.0,25302.0,4.0
gemma,okvqa_val_00893,1,shuffled_mask,top_hidden_delta,-4.0625,-14.25,10.1875,-18492.0,440.0,25302.0,32.0
gemma,okvqa_val_00893,1,shuffled_mask,visual+answer,17.28125,-4.5,21.78125,24961.0,440.0,25302.0,260.0
qwen,okvqa_val_258605,13,answer_mask,visual_span,3.3125,3.0,0.3125,33.0,5.0,45.0,393.0
qwen,okvqa_val_258605,13,answer_mask,answer_adjacent,0.0,-0.75,0.75,24.0,5.0,45.0,4.0
qwen,okvqa_val_258605,13,answer_mask,top_hidden_delta,-0.0625,0.25,-0.3125,6.0,5.0,45.0,32.0
qwen,okvqa_val_258605,13,answer_mask,visual+answer,3.5,2.5,1.0,36.0,5.0,45.0,397.0
qwen,okvqa_val_258605,15,answer_mask,visual_span,2.9375,3.0,-0.0625,28.0,5.0,45.0,393.0
qwen,okvqa_val_258605,15,answer_mask,answer_adjacent,1.0625,-0.375,1.4375,31.0,5.0,45.0,4.0
qwen,okvqa_val_258605,15,answer_mask,top_hidden_delta,-0.375,0.0,-0.375,2.0,5.0,45.0,32.0
qwen,okvqa_val_258605,15,answer_mask,visual+answer,2.625,1.25,1.375,35.0,5.0,45.0,397.0
qwen,okvqa_val_258605,17,answer_mask,visual_span,1.6875,1.75,-0.0625,24.0,5.0,45.0,393.0
qwen,okvqa_val_258605,17,answer_mask,answer_adjacent,0.8125,-0.75,1.5625,32.0,5.0,45.0,4.0
qwen,okvqa_val_258605,17,answer_mask,top_hidden_delta,-0.125,0.125,-0.25,3.0,5.0,45.0,32.0
qwen,okvqa_val_258605,17,answer_mask,visual+answer,2.9375,1.5,1.4375,37.0,5.0,45.0,397.0
qwen,okvqa_val_258605,13,union_mask,visual_span,3.3125,3.0,0.3125,33.0,5.0,45.0,393.0
qwen,okvqa_val_258605,13,union_mask,answer_adjacent,0.0,-0.75,0.75,24.0,5.0,45.0,4.0
qwen,okvqa_val_258605,13,union_mask,top_hidden_delta,-0.0625,0.25,-0.3125,6.0,5.0,45.0,32.0
qwen,okvqa_val_258605,13,union_mask,visual+answer,3.5,2.5,1.0,36.0,5.0,45.0,397.0
qwen,okvqa_val_258605,15,union_mask,visual_span,2.9375,3.0,-0.0625,28.0,5.0,45.0,393.0
qwen,okvqa_val_258605,15,union_mask,answer_adjacent,1.0625,-0.375,1.4375,31.0,5.0,45.0,4.0
